0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
14717,14717,14715,14715,14715,14715,14715,14715,14713,14712,14712,14710,14709,14708,14707,14707,14707,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706,14706
14717,14716,14714,14713,14710,14709,14708,14707,14705,14704,14702,14702,14701,14699,14697,14693,14692,14688,14682,14681,14676,14669,14663,14656,14650,14647,14641,14635,14628,14622,14620,14615,14606,14598,14591,14580,14573,14570,14561,14555,14550,14545,14538,14533,14525,14513,14510,14500,14493,14479,14470,14461,14451,14443,14428,14423,14410,14406,14395,14384,14376,14363,14351,14341,14331,14324,14312,14304,14297,14285,14280,14265,14257,14243,14231,14210,14197,14181,14165,14144,14129,14117,14103,14088,14073,14056,14044,14034,14025,14010,13998,13985,13969,13957,13940,13931,13916,13899,13881,13871,13858,13846,13825,13808,13796,13782,13765,13746,13730,13712,13700,13679,13662,13649,13637,13619,13602,13594,13580,13562,13547,13525,13513,13494,13472,13457,13440,13426,13409,13389,13374,13358,13342,13317,13292,13271,13252,13230,13208,13191,13173,13156,13137,13117,13096,13078,13068,13044,13026,13013,12999,12984,12964,12950,12936,12922,12901,12890,12872,12862,12853,12839,12828,12815,12802,12790,12772,12760,12746,12733,12723,12709,12690,12676,12656,12644,12623,12606,12589,12574,12552,12539,12521,12503,12485,12464,12450,12425,12404,12390,12370,12358,12343,12329,12314,12296,12281,12262,12247,12230,12216,12191,12172,12153,12137,12107,12083,12063,12040,12016,11994,11975,11947,11915,11896,11876,11857,11833,11798,11769,11747,11727,11708,11688,11663,11635,11612,11591,11573,11548,11525,11502,11476,11454,11428,11411,11396,11367,11347,11327,11306,11287,11269,11251,11228,11208,11198,11176,11163,11145,11126,11108,11094,11081,11063,11050,11039,11023,11007,10993,10976,10962,10950,10939,10924,10909,10896,10881,10864,10854,10838,10824,10804,10791,10774,10757,10749,10731,10716,10704,10686,10667,10657,10641,10631,10616,10598,10587,10569,10556,10539,10533,10517,10504,10487,10473,10458,10439,10422,10398,10380
14717,14717,14717,14716,14716,14713,14712,14712,14709,14706,14704,14702,14700,14697,14694,14690,14686,14684,14682,14679,14674,14669,14667,14666,14661,14655,14648,14637,14625,14618,14608,14595,14586,14577,14570,14560,14550,14541,14532,14521,14509,14497,14488,14479,14468,14462,14455,14450,14447,14442,14435,14429,14424,14417,14415,14408,14400,14391,14390,14384,14375,14369,14359,14348,14339,14331,14318,14309,14300,14288,14277,14266,14255,14241,14233,14224,14216,14206,14196,14186,14178,14172,14166,14150,14136,14124,14112,14100,14085,14075,14062,14045,14031,14020,14000,13989,13976,13957,13944,13929,13916,13902,13887,13867,13857,13846,13828,13817,13801,13782,13763,13748,13735,13723,13706,13686,13668,13650,13638,13620,13602,13578,13560,13548,13531,13519,13497,13476,13457,13441,13425,13408,13389,13370,13354,13336,13315,13292,13268,13247,13232,13215,13199,13181,13159,13147,13132,13112,13096,13075,13059,13042,13023,12997,12978,12955,12930,12905,12876,12844,12821,12801,12772,12733,12706,12688,12657,12636,12613,12589,12563,12537,12514,12485,12458,12432,12406,12381,12366,12343,12324,12304,12280,12266,12242,12220,12191,12168,12143,12118,12096,12074,12047,12021,11993,11977,11942,11913,11892,11869,11842,11815,11794,11772,11747,11719,11697,11671,11652,11627,11597,11583,11565,11548,11529,11504,11484,11461,11437,11420,11399,11379,11363,11342,11328,11312,11293,11270,11248,11226,11206,11187,11163,11144,11120,11098,11085,11071,11048,11027,11008,10986,10969,10946,10932,10911,10892,10868,10846,10824,10805,10783,10764,10741,10720,10707,10691,10671,10645,10631,10609,10589,10568,10546,10531,10512,10492,10473,10453,10426,10409,10389,10361,10347,10325,10305,10285,10269,10249,10230,10212,10186,10162,10138,10122,10096,10075,10054,10016,9992,9959,9935,9909,9878,9851,9833,9808,9783,9757,9732,9706
14717,14717,14717,14716,14715,14711,14708,14708,14707,14705,14704,14701,14700,14700,14699,14697,14694,14692,14691,14687,14684,14679,14670,14664,14657,14652,14647,14637,14631,14624,14620,14614,14608,14602,14598,14595,14585,14575,14565,14557,14546,14536,14524,14513,14504,14496,14489,14479,14470,14455,14444,14430,14420,14407,14390,14380,14367,14357,14343,14328,14315,14304,14293,14279,14265,14258,14247,14240,14231,14219,14203,14189,14176,14164,14152,14140,14122,14108,14092,14072,14063,14046,14034,14025,14013,14006,13995,13983,13969,13956,13940,13930,13914,13893,13879,13864,13846,13828,13809,13792,13775,13757,13741,13725,13704,13683,13668,13652,13637,13618,13593,13574,13552,13534,13514,13495,13477,13459,13446,13431,13415,13393,13381,13364,13341,13316,13296,13275,13262,13237,13210,13190,13175,13149,13130,13111,13087,13061,13041,13019,12997,12980,12955,12935,12918,12893,12877,12856,12835,12825,12809,12790,12774,12758,12738,12723,12711,12689,12674,12654,12636,12615,12593,12573,12555,12534,12512,12496,12473,12456,12435,12410,12392,12368,12347,12328,12309,12284,12267,12250,12234,12207,12180,12165,12138,12114,12087,12069,12051,12028,12010,11992,11976,11958,11942,11929,11920,11905,11890,11875,11859,11844,11834,11809,11783,11762,11747,11728,11699,11683,11657,11637,11626,11599,11572,11549,11516,11488,11453,11422,11390,11358,11324,11304,11278,11250,11238,11222,11195,11162,11139,11115,11094,11073,11051,11027,10996,10977,10957,10930,10911,10881,10856,10831,10803,10756,10724,10696,10669,10637,10605,10576,10543,10518,10485,10442,10400,10368,10332,10300,10261,10226,10192,10155,10120,10078,10038,10006,9962,9935,9895,9863,9827,9808,9781,9751,9719,9689,9655,9619,9588,9557,9524,9493,9452,9419,9380,9356,9318,9291,9249,9199,9157,9116,9081,9048,9018,8991,8960,8931,8901
14717,14717,14716,14715,14714,14711,14710,14708,14708,14707,14704,14702,14701,14700,14695,14691,14683,14683,14679,14677,14672,14670,14668,14665,14657,14653,14648,14644,14642,14635,14632,14626,14622,14618,14614,14607,14602,14597,14593,14589,14584,14575,14567,14562,14556,14550,14543,14536,14532,14528,14522,14515,14507,14502,14498,14492,14486,14480,14471,14465,14460,14450,14444,14436,14425,14416,14409,14401,14392,14382,14371,14358,14341,14328,14322,14307,14290,14273,14258,14245,14233,14221,14208,14195,14187,14179,14164,14151,14140,14124,14113,14094,14079,14060,14047,14023,14001,13986,13969,13953,13936,13926,13914,13901,13892,13881,13864,13848,13834,13821,13813,13798,13784,13774,13758,13746,13737,13723,13707,13694,13679,13665,13651,13632,13616,13601,13583,13567,13553,13538,13524,13510,13493,13478,13462,13449,13435,13417,13394,13379,13371,13364,13355,13343,13333,13322,13310,13293,13282,13269,13259,13241,13227,13215,13199,13189,13175,13163,13153,13139,13130,13118,13105,13091,13069,13057,13040,13023,13003,12983,12958,12941,12919,12897,12878,12860,12845,12829,12813,12797,12782,12767,12754,12734,12716,12691,12666,12624,12598,12578,12546,12519,12485,12462,12442,12426,12403,12380,12358,12337,12314,12290,12272,12250,12230,12208,12190,12169,12150,12130,12104,12078,12064,12046,12029,12007,11985,11969,11954,11935,11919,11897,11874,11856,11842,11825,11804,11783,11762,11744,11734,11724,11709,11692,11680,11661,11645,11630,11610,11597,11579,11562,11545,11535,11515,11489,11472,11455,11428,11411,11396,11375,11353,11339,11323,11301,11283,11264,11243,11221,11200,11179,11166,11136,11103,11079,11056,11032,11006,10977,10959,10940,10917,10898,10871,10845,10818,10782,10757,10730,10695,10672,10653,10620,10590,10572,10549,10528,10509,10480,10457,10440,10420,10401,10384,10362,10341,10327,10299,10281,10263
14717,14716,14714,14712,14710,14709,14708,14707,14702,14699,14696,14693,14692,14692,14692,14691,14689,14688,14687,14686,14685,14684,14682,14680,14677,14675,14672,14667,14665,14665,14664,14661,14656,14650,14646,14641,14636,14628,14622,14616,14610,14601,14593,14586,14577,14569,14564,14558,14551,14541,14531,14524,14510,14503,14496,14487,14477,14465,14454,14440,14427,14410,14399,14390,14377,14368,14356,14341,14333,14326,14308,14297,14289,14281,14269,14261,14254,14246,14236,14228,14219,14210,14197,14188,14177,14169,14155,14141,14128,14113,14098,14084,14072,14062,14050,14035,14021,14008,13998,13980,13965,13946,13929,13913,13895,13872,13848,13825,13809,13796,13776,13757,13735,13715,13690,13674,13651,13633,13615,13582,13559,13539,13515,13496,13460,13433,13400,13374,13354,13325,13297,13264,13236,13203,13169,13144,13117,13087,13055,13021,12990,12962,12944,12919,12898,12883,12860,12834,12810,12791,12766,12745,12728,12704,12680,12664,12637,12619,12604,12580,12541,12516,12493,12463,12437,12408,12382,12366,12345,12324,12301,12277,12260,12241,12216,12192,12169,12148,12119,12089,12063,12042,12016,11997,11973,11948,11928,11903,11881,11862,11837,11813,11786,11761,11733,11706,11683,11660,11642,11612,11585,11562,11535,11507,11477,11448,11417,11391,11372,11345,11321,11285,11259,11235,11212,11183,11151,11128,11100,11074,11050,11021,10991,10967,10944,10917,10892,10862,10838,10807,10790,10755,10727,10699,10673,10638,10617,10590,10558,10528,10511,10489,10457,10441,10417,10389,10368,10350,10321,10297,10275,10252,10236,10212,10194,10178,10162,10137,10116,10098,10076,10051,10021,10005,9982,9955,9920,9894,9861,9835,9796,9762,9728,9701,9673,9641,9619,9580,9554,9522,9500,9477,9445,9425,9412,9382,9353,9330,9306,9281,9253,9230,9202,9175,9149,9130,9106,9080,9054,9032,9004
14717,14717,14716,14716,14716,14716,14716,14715,14714,14712,14711,14710,14709,14708,14705,14704,14703,14701,14700,14699,14695,14694,14694,14693,14690,14689,14683,14680,14679,14674,14672,14668,14665,14663,14658,14654,14647,14645,14643,14633,14627,14619,14612,14607,14601,14592,14586,14571,14562,14553,14541,14531,14521,14510,14507,14495,14481,14470,14458,14447,14436,14427,14409,14398,14390,14384,14373,14362,14350,14338,14329,14321,14311,14298,14292,14279,14272,14253,14239,14229,14222,14210,14197,14181,14169,14161,14153,14141,14130,14119,14110,14102,14090,14082,14075,14065,14060,14052,14044,14038,14028,14022,14014,14008,14000,13989,13981,13968,13959,13947,13934,13917,13907,13894,13879,13861,13848,13836,13822,13811,13796,13780,13760,13740,13723,13703,13686,13660,13638,13613,13587,13564,13543,13522,13497,13463,13428,13402,13379,13357,13335,13312,13287,13267,13238,13206,13182,13149,13121,13102,13081,13057,13038,13009,12984,12965,12947,12929,12906,12881,12855,12827,12797,12770,12738,12711,12684,12653,12620,12585,12552,12525,12499,12472,12445,12426,12400,12374,12351,12328,12304,12282,12254,12226,12202,12178,12146,12121,12081,12063,12033,12005,11976,11947,11918,11892,11866,11839,11824,11803,11776,11754,11732,11695,11671,11638,11608,11581,11550,11518,11479,11447,11419,11382,11347,11318,11288,11254,11219,11186,11155,11132,11099,11065,11040,11007,10978,10953,10916,10872,10843,10817,10785,10749,10720,10691,10665,10645,10602,10570,10547,10525,10503,10476,10451,10429,10406,10386,10360,10331,10303,10277,10257,10228,10206,10173,10154,10128,10104,10071,10039,10015,9987,9960,9934,9910,9885,9856,9825,9797,9776,9744,9723,9706,9681,9664,9641,9613,9588,9565,9536,9514,9489,9458,9420,9402,9382,9362,9345,9320,9295,9275,9258,9237,9208,9188,9172,9149,9127,9105,9084
14717,14716,14715,14715,14715,14712,14710,14707,14703,14699,14697,14697,14694,14692,14690,14688,14685,14683,14679,14676,14674,14672,14670,14667,14661,14659,14657,14654,14649,14647,14645,14639,14633,14630,14624,14619,14615,14605,14601,14589,14578,14569,14562,14558,14551,14543,14535,14527,14515,14510,14500,14491,14483,14475,14469,14460,14452,14447,14441,14437,14434,14430,14427,14422,14418,14414,14412,14405,14401,14396,14394,14390,14386,14383,14379,14376,14372,14368,14367,14366,14363,14359,14355,14350,14348,14344,14342,14340,14338,14333,14330,14325,14323,14319,14314,14308,14308,14307,14306,14302,14296,14292,14288,14282,14280,14274,14266,14261,14255,14251,14242,14233,14224,14216,14205,14193,14185,14172,14157,14148,14136,14124,14118,14099,14089,14078,14066,14055,14041,14026,14010,13992,13976,13961,13948,13930,13916,13898,13884,13863,13846,13822,13806,13787,13769,13751,13737,13724,13704,13693,13677,13659,13647,13633,13610,13589,13584,13571,13553,13537,13523,13513,13499,13484,13467,13449,13434,13418,13407,13391,13371,13359,13344,13333,13322,13307,13289,13274,13257,13234,13209,13195,13165,13147,13127,13100,13082,13050,13021,12998,12975,12955,12941,12920,12900,12878,12863,12834,12809,12780,12756,12735,12711,12689,12668,12643,12620,12597,12581,12556,12541,12515,12492,12473,12451,12424,12401,12376,12353,12328,12306,12283,12263,12244,12228,12206,12193,12161,12139,12113,12090,12064,12052,12029,12013,11993,11977,11968,11947,11928,11917,11900,11888,11878,11859,11840,11821,11805,11792,11779,11768,11754,11741,11734,11716,11704,11682,11660,11648,11631,11620,11602,11582,11558,11543,11524,11507,11489,11473,11460,11440,11422,11401,11375,11358,11341,11321,11306,11289,11276,11262,11244,11233,11217,11201,11183,11167,11148,11135,11116,11100,11086,11072,11057,11033,11020,11007,10989,10978,10959,10940
14717,14717,14717,14717,14716,14714,14714,14713,14712,14710,14709,14708,14708,14707,14704,14702,14701,14701,14700,14699,14698,14696,14694,14691,14690,14689,14687,14687,14686,14686,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684,14684
14717,14715,14715,14710,14707,14706,14704,14702,14700,14699,14699,14698,14698,14698,14698,14696,14695,14695,14695,14694,14693,14693,14692,14691,14689,14689,14689,14688,14687,14685,14685,14685,14685,14683,14683,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682
