0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,57,126,205,257,313,381,461,497,530,566,594,626,638,687,722,698,677,677,691,709,716,742,730,697,679,683,661,649,645,627,628,601,595,587,573,566,571,559,547,456,413,363,341,309,279,272,266,255,250,244,231,229,204,190,185,181,165,174,170,167,164,153,166,155,154,147,141,140,114,104,93,96,94,88,82,82,80,77,68,68,67,60,58,58,54,47,46,40,39,35,30,27,22,17,15,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,125,189,261,314,371,416,461,487,538,573,624,663,710,718,740,754,791,832,842,884,923,898,924,903,863,865,868,855,835,816,819,800,763,737,698,680,646,607,541,507,481,371,330,256,188,177,160,155,151,137,127,115,113,105,89,93,79,79,71,72,67,61,24,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,142,213,272,327,386,455,536,570,627,678,746,759,792,833,877,904,949,947,969,947,938,879,856,847,823,792,791,762,727,712,685,679,656,601,547,529,507,481,408,376,335,309,277,257,247,237,235,217,214,201,167,165,150,144,112,95,96,76,67,59,43,37,24,19,14,12,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,138,211,264,317,366,432,484,543,617,657,692,743,786,838,835,863,902,906,875,893,936,947,951,952,929,905,862,801,806,721,684,650,635,596,558,525,505,473,451,431,365,346,310,288,265,221,189,174,161,147,127,124,119,109,100,98,92,84,78,71,60,49,34,27,17,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,137,208,288,357,434,487,551,610,613,645,699,746,780,821,847,876,862,876,896,918,931,934,896,886,819,770,711,711,688,670,659,598,540,537,531,506,467,465,397,387,370,337,331,318,306,308,280,257,221,204,191,170,153,141,128,112,104,87,78,69,64,52,51,44,42,34,35,29,26,19,18,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48,112,187,245,292,319,359,409,449,482,532,564,602,614,605,632,641,661,625,600,595,595,592,580,586,577,582,579,572,581,591,600,587,574,585,559,576,554,578,568,582,535,512,506,503,502,483,473,457,419,382,360,340,329,309,312,294,270,260,258,249,229,217,179,140,95,75,71,63,60,53,47,44,40,34,34,27,21,17,17,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,143,211,294,375,446,514,612,682,729,781,800,833,863,896,936,910,952,984,991,957,921,923,916,931,921,912,863,845,820,803,711,663,614,577,535,510,468,387,367,333,298,271,251,224,208,191,170,157,136,122,105,85,71,65,42,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,135,219,280,351,402,452,486,523,563,570,622,643,667,709,767,773,752,696,697,714,700,707,705,677,662,654,632,640,620,626,607,604,579,576,534,515,498,474,475,459,447,436,426,408,392,369,362,341,339,331,322,309,295,280,258,249,236,222,197,178,155,135,106,96,93,81,75,67,65,47,36,22,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,132,207,293,358,428,495,573,641,696,766,825,867,900,923,935,968,921,916,903,931,871,832,827,811,789,796,787,756,675,641,630,609,576,576,536,518,507,494,476,467,459,455,463,407,325,254,208,110,93,83,72,67,62,57,54,47,45,41,36,32,31,24,24,17,15,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,129,205,280,324,409,473,498,518,559,574,613,630,650,679,689,723,737,789,791,833,872,814,826,821,836,853,855,869,844,818,820,808,797,738,722,693,552,500,395,362,331,313,299,274,255,240,224,206,201,176,172,163,161,146,134,127,121,122,109,95,90,76,72,67,65,47,43,36,28,23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
