0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,0,0,10,72,213,433,731,1106,1559,2096,2699,3328,3985,4671,5375,6102,6878,7659,8460,9223,9958,10682,11389,12063,12700,13293,13887,14431,14879,15288,15675,16038,16386,16682,16954,17216,17367,17494,17595,17677,17738,17790,17838,17874,17907,17936,17962,17985,18004,18021,18030,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,65,201,426,728,1094,1539,2038,2612,3251,3931,4646,5382,6116,6849,7565,8274,8984,9620,10224,10820,11376,11904,12434,12946,13456,13957,14449,14927,15391,15835,16217,16492,16715,16923,17108,17224,17323,17411,17493,17571,17645,17717,17787,17853,17904,17943,17977,18001,18015,18025,18030,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,66,193,386,642,944,1295,1703,2157,2657,3193,3773,4371,5009,5658,6280,6904,7518,8108,8719,9337,9940,10538,11126,11700,12232,12714,13177,13627,14043,14450,14826,15176,15505,15812,16101,16383,16649,16925,17192,17384,17522,17638,17753,17854,17930,17976,18012,18025,18030,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,64,200,401,644,938,1277,1661,2091,2559,3076,3606,4166,4735,5334,5949,6575,7168,7757,8282,8766,9236,9706,10185,10662,11137,11622,12091,12511,12910,13276,13648,13979,14319,14632,14869,15054,15222,15384,15533,15666,15794,15910,16014,16121,16231,16331,16430,16527,16619,16711,16801,16888,16971,17051,17128,17203,17274,17347,17414,17478,17542,17602,17658,17714,17764,17810,17857,17902,17936,17965,17991,18009,18022,18029,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,62,186,390,659,994,1376,1810,2299,2850,3456,4055,4666,5266,5849,6438,7003,7579,8165,8768,9366,9968,10561,11149,11721,12235,12731,13230,13693,14149,14563,14956,15305,15623,15917,16196,16435,16639,16826,17002,17173,17321,17463,17592,17709,17808,17897,17966,18007,18021,18028,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,69,209,423,708,1069,1486,1972,2506,3089,3697,4314,4900,5478,6056,6613,7153,7681,8207,8725,9241,9751,10263,10784,11288,11802,12301,12814,13324,13837,14292,14678,15016,15332,15635,15916,16185,16452,16708,16906,17038,17168,17284,17388,17484,17581,17669,17749,17824,17891,17946,17986,18014,18029,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,63,207,421,702,1047,1447,1885,2387,2938,3517,4121,4759,5406,6073,6748,7453,8174,8904,9590,10278,10902,11483,12042,12576,13069,13543,14004,14383,14708,15017,15305,15577,15809,16025,16220,16396,16562,16713,16850,16971,17082,17180,17269,17351,17430,17502,17566,17624,17679,17725,17764,17801,17835,17865,17894,17920,17943,17964,17983,17999,18012,18023,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,69,200,397,675,1024,1434,1920,2474,3086,3740,4390,5046,5716,6376,7044,7690,8323,8945,9503,10046,10565,11061,11526,11977,12404,12816,13199,13581,13952,14307,14659,14966,15234,15490,15731,15966,16188,16396,16598,16796,16975,17132,17268,17389,17492,17582,17659,17728,17789,17842,17886,17926,17954,17979,17998,18014,18024,18030,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,66,211,430,709,1067,1478,1930,2413,2894,3416,3935,4483,5053,5642,6251,6869,7488,8125,8755,9401,10057,10738,11373,11967,12548,13113,13664,14198,14719,15224,15726,16162,16514,16823,17073,17239,17364,17475,17577,17671,17755,17831,17893,17943,17986,18027,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
0,0,0,10,77,218,433,723,1067,1476,1939,2451,2974,3541,4139,4762,5411,6057,6709,7360,8006,8616,9201,9784,10346,10910,11458,11958,12427,12881,13301,13711,14118,14511,14843,15111,15356,15584,15804,15999,16186,16363,16529,16686,16839,16988,17123,17254,17346,17403,17459,17513,17562,17611,17656,17699,17738,17776,17812,17844,17873,17899,17925,17946,17968,17985,17999,18011,18019,18027,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031,18031
