0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
19297,19275,19230,19168,19074,18957,18806,18609,18387,18165,17913,17633,17348,17036,16709,16382,16032,15687,15312,14921,14510,14097,13704,13294,12875,12487,12101,11698,11269,10834,10418,9975,9539,9077,8647,8234,7814,7409,7005,6603,6200,5789,5390,5009,4645,4306,3924,3529,3145,2792,2414,2063,1745,1462,1208,1013,823,668,552,472,404,357,307,279,257,245,236,234,233,233,233
19297,19277,19240,19169,19089,18974,18837,18647,18448,18205,17898,17561,17175,16788,16376,15929,15445,14976,14499,14021,13550,13091,12625,12171,11727,11278,10836,10378,9940,9502,9056,8634,8233,7828,7437,7050,6683,6326,5994,5689,5353,5052,4777,4509,4254,3994,3751,3515,3275,3058,2858,2672,2494,2341,2195,2067,1928,1805,1685,1576,1462,1368,1268,1177,1073,985,912,836,765,699,636
19297,19278,19243,19192,19104,18996,18862,18702,18514,18283,17982,17677,17353,16990,16605,16183,15786,15354,14902,14499,14066,13638,13203,12744,12307,11886,11454,11074,10676,10238,9812,9399,8964,8562,8147,7731,7334,6956,6566,6170,5809,5477,5119,4768,4432,4111,3812,3574,3329,3131,2913,2741,2589,2462,2333,2202,2074,1953,1820,1693,1597,1490,1390,1306,1225,1155,1074,1010,953,900,852
19297,19275,19227,19162,19067,18959,18800,18613,18422,18181,17915,17637,17316,17009,16663,16296,15907,15488,15074,14642,14219,13814,13387,12965,12522,12084,11621,11137,10659,10173,9720,9279,8845,8435,8017,7631,7272,6972,6668,6362,6076,5800,5548,5307,5078,4847,4624,4389,4192,3987,3794,3598,3383,3220,3069,2907,2750,2597,2447,2313,2196,2096,1992,1892,1798,1713,1632,1538,1442,1354,1272
19297,19280,19241,19186,19100,18990,18825,18637,18439,18192,17957,17661,17343,16985,16627,16234,15837,15425,14970,14538,14024,13519,12999,12473,11935,11446,10975,10548,10089,9659,9245,8830,8467,8095,7771,7422,7092,6760,6458,6178,5918,5641,5376,5104,4837,4614,4393,4190,3987,3792,3589,3410,3249,3099,2959,2827,2703,2562,2434,2307,2203,2097,2001,1894,1799,1694,1603,1511,1437,1363,1281
19297,19278,19230,19153,19037,18900,18723,18508,18269,18003,17715,17389,17041,16689,16306,15854,15425,14988,14543,14085,13614,13131,12653,12175,11732,11283,10843,10432,9962,9502,9057,8634,8201,7776,7328,6877,6423,6009,5636,5284,4951,4638,4342,4046,3751,3459,3211,2953,2718,2494,2271,2073,1883,1712,1526,1372,1222,1083,976,883,806,734,682,632,584,519,469,426,394,362,335
19297,19275,19233,19172,19089,18975,18831,18658,18446,18210,17923,17624,17260,16866,16492,16125,15743,15333,14924,14489,14044,13610,13194,12705,12273,11800,11322,10862,10396,9922,9416,8961,8511,8117,7733,7355,7027,6708,6421,6135,5869,5595,5330,5101,4878,4666,4467,4275,4040,3812,3584,3397,3206,3045,2898,2740,2579,2408,2263,2135,2011,1889,1782,1674,1574,1483,1385,1317,1239,1175,1108
19297,19282,19244,19199,19129,19027,18913,18772,18614,18419,18186,17929,17619,17273,16904,16505,16114,15660,15187,14687,14213,13681,13125,12572,11998,11418,10847,10293,9697,9108,8517,7913,7376,6806,6237,5680,5122,4614,4107,3667,3251,2841,2453,2086,1744,1429,1166,922,716,566,464,382,338,308,295,282,269,259,258,255,255,255,255,255,255,255,255,255,255,255,255
19297,19274,19227,19159,19047,18908,18721,18519,18292,18043,17734,17417,17063,16714,16333,15972,15594,15181,14768,14336,13910,13470,13026,12607,12153,11690,11225,10747,10273,9780,9325,8850,8387,7923,7436,7019,6586,6212,5846,5515,5222,4938,4694,4442,4203,3993,3779,3568,3362,3158,2959,2766,2601,2438,2255,2093,1940,1781,1648,1521,1388,1261,1141,1034,940,852,771,694,627,563,501
19297,19273,19231,19164,19061,18933,18779,18591,18372,18105,17788,17452,17103,16699,16306,15868,15429,14958,14474,13956,13420,12852,12288,11704,11155,10603,10072,9552,9043,8525,8052,7562,7130,6698,6263,5869,5479,5110,4762,4428,4114,3841,3561,3295,3043,2787,2585,2390,2206,2002,1823,1679,1518,1385,1234,1111,1002,908,812,743,682,629,574,524,471,426,385,356,339,316,304
19297,19279,19245,19188,19113,18999,18854,18676,18467,18230,17972,17687,17392,17059,16688,16323,15933,15558,15201,14811,14406,13991,13551,13140,12755,12360,11954,11529,11093,10663,10220,9759,9294,8854,8407,7970,7530,7089,6625,6197,5811,5450,5082,4702,4330,3965,3615,3302,3022,2744,2471,2246,2037,1857,1709,1598,1475,1368,1269,1183,1121,1047,984,913,839,768,706,643,595,548,505
19297,19285,19251,19202,19130,19026,18893,18741,18538,18331,18067,17787,17459,17107,16716,16311,15894,15491,15036,14519,13966,13410,12789,12172,11519,10869,10224,9552,8882,8210,7534,6884,6243,5618,5012,4437,3941,3506,3084,2713,2371,2054,1783,1549,1321,1147,984,827,696,588,485,403,341,301,281,259,247,237,231,230,229,229,229,229,229,229,229,229,229,229,229
