0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0,0,10,46,132,286,490,750,1072,1440,1860,2308,2808,3356,3908,4535,5144,5773,6335,6866,7394,7883,8367,8852,9330,9814,10318,10782,11259,11716,12158,12614,13052,13473,13883,14264,14572,14810,14980,15105,15220,15315,15385,15448,15509,15556,15586,15607,15618,15623,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,56,160,316,533,799,1124,1523,1975,2462,2988,3547,4132,4765,5440,6122,6770,7398,8019,8608,9187,9716,10204,10677,11088,11494,11884,12254,12610,12946,13266,13577,13836,14056,14273,14461,14635,14787,14928,15041,15157,15257,15343,15412,15463,15517,15549,15580,15608,15622,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,42,117,248,433,654,921,1229,1584,1969,2386,2824,3292,3795,4316,4925,5542,6209,6876,7580,8294,8985,9658,10322,11007,11658,12303,12932,13503,14011,14448,14804,15063,15242,15373,15466,15538,15592,15616,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,55,158,313,539,826,1156,1526,1927,2356,2830,3311,3808,4345,4872,5374,5898,6434,6968,7494,8010,8482,8960,9406,9824,10256,10646,11005,11318,11643,11929,12204,12471,12733,12980,13208,13425,13629,13817,14006,14181,14348,14516,14688,14844,14981,15115,15228,15308,15384,15459,15514,15559,15582,15602,15618,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,56,157,320,535,797,1089,1457,1860,2294,2752,3233,3725,4218,4756,5283,5823,6360,6902,7443,7987,8559,9117,9607,10093,10549,10997,11447,11871,12293,12707,13056,13364,13644,13895,14120,14334,14531,14711,14874,15027,15158,15283,15356,15395,15434,15472,15501,15534,15555,15571,15587,15603,15618,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
