0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
10,78,222,416,614,794,936,1045,1100,1144,1173,1175,1152,1069,964,846,762,720,693,631,562,496,470,423,379,335,273,215,159,151,141,134,124,118,108,97,79,65,54,49,44,40,35,32,27,24,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,70,195,370,559,734,906,1051,1154,1182,1161,1116,1088,1022,932,834,786,749,691,614,545,495,459,444,436,434,410,358,293,241,212,193,176,164,108,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,81,229,432,639,825,995,1155,1290,1415,1495,1551,1455,1294,1132,1015,886,731,625,565,500,438,381,329,277,209,140,78,43,23,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,80,236,464,694,904,1090,1246,1339,1355,1349,1343,1319,1254,1146,1056,956,860,725,588,441,336,259,218,187,153,121,88,68,54,45,41,37,35,31,27,23,19,16,13,11,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,79,215,398,567,725,845,925,967,1014,1061,1110,1137,1132,1109,1074,1054,971,849,715,623,540,441,351,258,197,145,133,129,124,121,116,112,107,102,97,94,91,87,82,77,73,68,64,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,213,408,598,761,890,974,1030,1079,1129,1156,1147,1098,1003,906,826,778,723,674,589,509,443,423,394,355,314,284,217,161,111,103,93,87,82,77,72,65,61,56,51,45,40,36,30,25,20,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,229,427,616,762,901,1037,1173,1291,1353,1327,1243,1163,1117,1074,948,814,687,634,580,493,400,316,268,235,205,181,158,135,114,90,67,45,30,21,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,79,235,453,680,855,994,1075,1134,1161,1191,1231,1232,1225,1142,1059,941,858,756,657,532,406,298,230,216,207,199,188,180,153,121,85,70,62,57,51,46,41,36,30,25,20,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,223,402,581,728,866,970,1046,1081,1082,1063,1051,1039,998,907,808,733,690,657,625,608,579,514,418,329,272,238,212,193,181,170,156,143,128,112,96,79,64,48,36,23,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,224,423,602,719,797,850,903,947,979,996,999,989,933,844,724,609,506,424,364,324,305,301,297,295,290,285,255,226,197,188,179,171,167,161,154,147,143,140,136,132,127,123,117,113,110,106,102,97,93,88,84,80,76,71,67,63,59,55,50,46,41,37,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,82,215,401,580,753,903,1032,1121,1191,1217,1222,1202,1187,1148,1031,897,781,731,692,655,626,586,476,361,260,226,184,137,95,72,61,57,38,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,216,428,649,857,1020,1158,1264,1362,1416,1423,1410,1406,1405,1318,1147,905,709,548,440,348,274,205,139,78,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,211,391,564,712,805,859,878,914,954,974,985,986,993,999,1008,920,802,658,586,521,461,407,354,302,261,233,213,195,170,139,117,103,100,96,92,89,83,82,79,78,73,68,65,61,59,55,52,48,44,41,37,35,31,27,23,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,215,397,579,720,854,960,1056,1131,1201,1242,1244,1229,1199,1143,1032,906,773,672,589,539,487,426,363,298,239,185,148,112,77,47,30,25,20,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,239,449,629,783,899,1004,1056,1085,1101,1134,1169,1191,1204,1209,1191,1074,897,705,587,500,441,341,264,194,173,156,138,122,100,67,36,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,80,221,411,580,714,819,923,1003,1080,1134,1200,1222,1226,1189,1094,987,874,804,712,639,575,522,458,385,299,221,168,148,130,107,82,61,50,45,40,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,233,460,697,901,1072,1207,1303,1361,1409,1418,1378,1255,1021,794,621,566,521,464,409,355,307,266,237,197,159,128,120,114,109,104,99,93,88,83,78,72,67,62,57,51,46,41,36,30,25,20,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,225,432,646,808,915,954,951,897,832,764,729,710,693,677,662,637,612,580,556,535,515,491,469,452,433,366,297,237,223,211,203,193,187,170,158,142,136,129,125,118,113,110,110,105,92,79,68,59,51,44,40,37,35,32,27,23,19,16,13,11,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,211,385,549,681,778,834,854,863,873,876,834,788,732,694,649,604,565,530,502,488,477,463,454,433,414,394,384,372,357,336,319,301,287,264,238,210,185,163,142,125,111,100,90,81,61,42,25,20,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,221,407,602,750,878,973,1065,1165,1267,1343,1398,1370,1293,1160,1033,918,774,642,517,442,388,315,254,196,177,158,140,124,91,63,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
