0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,32,64,103,144,197,258,317,385,448,523,586,663,758,768,741,749,792,819,844,880,879,850,905,921,905,951,938,926,940,980,961,905,844,778,762,706,647,606,573,552,540,539,494,452,435,411,391,427,463,456,415,378,352,308,305,319,332,316,273,252,246,229,215,208,191,189,166,146,142,131
10,25,53,83,115,172,216,255,299,353,428,490,567,656,715,768,790,845,927,973,974,1006,1088,1109,1127,1154,1151,1125,1150,1185,1180,1195,1141,1107,1139,1126,1115,1066,1015,947,856,826,798,755,709,657,578,507,450,356,252,184,126,74,43,26,26,23,11,4,3,0,0,0,0,0,0,0,0,0,0
10,33,70,115,180,251,326,389,429,476,558,626,671,703,730,742,739,791,826,845,858,866,884,863,873,917,928,943,952,967,948,930,938,927,951,904,850,807,740,697,624,577,528,496,491,449,424,425,417,410,403,392,358,328,346,345,315,312,292,260,260,260,247,227,201,182,169,158,144,131,126
10,34,66,109,170,231,282,342,407,486,584,653,685,753,797,831,877,910,955,1002,1054,1104,1132,1148,1133,1101,1083,1051,1029,1027,991,963,922,864,867,829,784,759,717,682,648,587,553,546,518,508,458,397,379,388,383,323,305,294,284,274,232,203,190,165,130,114,108,105,103,98,86,70,46,40,35
10,28,52,91,132,189,259,323,387,446,495,543,580,628,704,736,755,765,732,747,795,820,855,851,796,780,801,831,861,866,873,904,926,905,887,884,877,881,905,892,814,747,729,748,752,737,715,663,593,558,551,498,434,389,328,259,234,230,206,185,148,136,137,134,145,145,133,125,111,95,90
10,22,46,83,121,176,237,285,355,410,471,544,608,680,743,796,822,820,858,972,1070,1109,1177,1238,1270,1303,1295,1317,1342,1342,1348,1326,1291,1266,1231,1181,1071,931,857,793,713,659,588,505,462,402,337,320,288,239,211,185,144,102,60,42,34,22,16,7,2,1,0,0,0,0,0,0,0,0,0
10,29,57,86,129,184,248,308,357,398,429,502,556,623,711,764,798,831,882,908,894,857,842,850,852,864,858,826,800,774,771,787,774,761,747,734,735,693,662,639,635,617,601,592,545,543,550,522,476,417,367,358,342,315,310,331,327,307,305,291,280,259,244,248,244,233,225,210,203,186,174
10,26,47,80,120,172,214,264,335,415,465,514,585,609,638,715,788,804,812,844,840,864,884,884,882,883,886,907,949,955,956,938,925,866,815,816,822,847,807,765,740,683,615,548,533,542,529,501,458,417,396,368,344,319,276,238,222,215,216,216,212,188,169,159,160,169,166,173,162,159,158
10,32,76,127,175,248,309,360,443,500,549,588,622,666,668,712,733,703,734,770,757,773,767,731,759,765,753,783,767,751,791,797,813,824,769,738,741,720,720,723,701,677,665,646,634,623,599,597,580,563,546,506,463,409,376,361,336,314,300,279,254,246,243,209,161,145,143,146,154,145,133
10,25,49,92,135,200,258,315,391,469,556,612,674,728,791,875,938,999,999,1003,1061,1118,1144,1135,1115,1055,1022,1007,1015,1017,988,949,930,973,971,964,972,932,861,806,725,678,621,553,540,503,451,379,307,273,266,248,226,202,167,140,133,132,136,129,111,92,91,95,86,77,71,74,65,44,38
10,29,48,75,125,193,250,301,384,456,515,567,601,625,621,638,684,778,820,816,838,821,811,795,779,805,830,832,848,841,862,877,813,811,831,820,799,755,722,720,703,679,684,684,657,601,531,492,473,476,486,474,443,402,375,336,318,330,325,305,298,307,275,250,241,197,186,196,196,170,145
10,26,59,90,131,203,272,349,420,486,545,604,676,742,802,832,849,838,792,805,826,804,795,811,843,830,794,801,810,788,757,738,770,795,776,794,802,783,809,799,760,738,718,725,709,652,619,622,583,569,576,540,478,410,384,388,367,344,331,310,307,318,302,261,209,131,84,68,53,42,33
10,32,73,117,163,209,239,275,340,411,452,512,587,644,693,718,733,771,799,787,756,740,722,672,624,619,644,637,614,595,604,621,592,609,615,571,549,539,547,524,497,480,486,513,528,519,503,487,447,440,438,434,428,403,399,399,385,368,364,367,365,341,318,311,312,321,333,328,307,304,298
