0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
10,51,133,252,410,579,748,874,1003,1123,1212,1254,1228,1199,1181,1139,1094,992,919,835,771,710,661,617,574,542,498,468,423,391,361,337,321,308,304,302,300,286,275,268,265,264,259,255,252,243,242,225,221,195,171,150,137,129,103,87,66,48,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,129,256,416,612,784,940,1041,1133,1192,1214,1200,1179,1168,1151,1141,1096,1037,965,914,881,853,826,792,704,607,520,493,463,450,432,424,403,390,357,324,289,261,228,177,140,115,107,99,102,87,72,47,26,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,45,130,257,421,591,734,874,975,1056,1119,1212,1310,1373,1403,1426,1432,1432,1392,1343,1251,1181,1110,990,866,718,651,584,540,476,380,291,213,169,129,95,65,38,15,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,130,263,420,556,676,778,875,945,991,1054,1086,1128,1122,1133,1139,1152,1175,1196,1247,1294,1305,1248,1160,1058,944,793,664,557,480,388,291,215,162,140,115,100,83,69,51,32,21,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,45,141,281,450,587,735,857,1015,1169,1310,1410,1471,1501,1505,1469,1462,1429,1406,1307,1197,1042,920,778,659,567,506,434,341,267,231,210,196,188,182,174,157,149,128,106,79,64,58,48,36,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,155,275,414,533,663,779,893,975,1031,1065,1104,1170,1203,1213,1178,1160,1110,1041,910,809,721,692,671,647,635,598,574,522,490,449,426,396,370,350,336,325,314,293,266,235,214,201,180,159,137,109,84,57,42,33,22,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,46,127,268,438,599,747,875,1033,1189,1317,1414,1451,1511,1497,1501,1420,1365,1231,1163,1063,1015,931,840,731,599,493,400,335,298,268,243,220,196,183,166,161,156,140,121,106,99,87,77,62,57,35,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,49,128,250,392,531,654,803,927,1045,1139,1250,1336,1382,1379,1381,1372,1355,1315,1232,1186,1133,1089,988,858,724,618,533,442,348,268,227,206,196,185,174,167,155,142,132,122,122,105,91,66,46,31,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,46,121,259,431,593,727,843,957,1052,1114,1152,1163,1178,1196,1176,1106,1037,1005,981,939,868,841,826,824,805,779,776,743,710,661,596,502,397,316,269,221,191,148,119,91,84,83,79,69,58,52,42,33,21,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,140,267,420,568,716,828,913,953,1016,997,994,964,981,952,911,882,883,860,811,770,742,730,685,637,575,535,480,442,397,386,367,369,351,348,334,336,322,314,306,314,316,314,297,280,255,235,225,217,215,185,170,139,132,111,97,82,74,56,35,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0
10,46,128,274,425,578,685,803,909,1022,1104,1183,1242,1310,1358,1392,1417,1411,1389,1372,1338,1309,1208,1119,985,858,703,560,425,324,250,207,170,148,121,100,76,63,61,58,52,39,31,24,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,39,127,259,426,608,762,940,1052,1185,1234,1296,1307,1337,1346,1371,1340,1284,1200,1153,1102,1034,948,859,757,645,553,492,443,402,373,337,301,264,240,229,214,211,207,192,140,69,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,43,119,244,397,570,700,840,944,1062,1165,1249,1342,1418,1506,1540,1543,1453,1347,1234,1150,1082,998,925,817,718,610,515,422,337,279,227,194,167,137,124,108,108,97,89,80,73,73,61,58,45,40,26,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,42,125,264,428,581,730,856,981,1070,1162,1271,1359,1398,1351,1301,1258,1230,1157,1076,986,932,874,820,736,641,539,437,381,349,345,328,310,291,276,266,263,245,240,233,228,205,190,163,136,98,72,42,18,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,37,118,255,411,560,677,790,885,987,1101,1199,1325,1389,1447,1442,1428,1407,1335,1298,1214,1160,1040,919,744,616,488,429,361,314,269,235,223,201,184,167,162,158,163,152,146,133,124,108,91,77,67,62,57,47,36,26,19,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
