0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,52,161,341,533,741,921,1058,1135,1179,1189,1191,1169,1131,1127,1131,1141,1127,1074,1000,896,750,606,489,372,271,202,151,108,69,42,23,8,2,0,0
10,54,162,325,549,814,1096,1352,1535,1667,1738,1733,1676,1630,1535,1394,1207,972,710,477,297,179,115,80,52,27,11,3,0,0,0,0,0,0,0,0
10,51,144,286,484,711,905,1070,1164,1209,1207,1193,1136,1104,1071,1035,978,916,827,703,589,516,453,409,385,366,335,312,292,278,258,240,215,185,146,104
10,56,172,337,552,797,1025,1207,1355,1457,1489,1491,1472,1403,1286,1172,1054,913,781,692,601,512,419,335,245,176,122,88,66,47,35,20,9,3,1,0
10,52,146,281,473,699,939,1126,1267,1366,1408,1414,1396,1390,1361,1334,1276,1200,1078,931,754,555,390,259,148,75,44,22,5,1,0,0,0,0,0,0
10,54,155,305,512,733,948,1122,1217,1285,1306,1315,1321,1349,1331,1310,1266,1155,1010,838,660,482,345,252,197,168,148,139,121,102,87,64,43,26,15,6
10,52,147,283,481,730,980,1187,1383,1533,1628,1667,1672,1591,1450,1266,1061,868,719,580,469,395,315,254,216,170,124,91,50,20,7,1,0,0,0,0
10,53,148,306,503,751,989,1213,1350,1476,1530,1569,1564,1565,1500,1409,1245,1055,850,661,482,357,256,178,121,88,65,44,31,19,10,2,0,0,0,0
10,54,152,323,546,821,1091,1362,1583,1701,1763,1746,1639,1489,1343,1132,951,778,604,470,391,328,287,249,204,158,110,62,32,16,5,0,0,0,0,0
10,60,174,348,584,859,1103,1287,1436,1485,1477,1461,1432,1296,1190,1064,909,753,665,568,493,439,387,342,306,269,232,192,161,130,102,74,55,32,17,6
10,53,143,301,498,732,951,1146,1297,1410,1495,1531,1504,1409,1271,1087,916,752,614,515,437,379,343,326,310,300,279,264,244,221,194,165,128,89,55,25
10,57,160,331,536,728,921,1081,1201,1261,1317,1339,1301,1236,1163,1074,964,871,756,668,583,513,452,407,360,329,287,255,224,202,177,161,137,117,89,62
10,46,138,291,507,762,1021,1212,1334,1389,1405,1359,1314,1227,1123,1008,884,755,669,609,529,497,466,447,415,395,362,323,270,218,165,110,72,42,19,6
10,53,167,338,557,784,1013,1193,1350,1483,1572,1632,1655,1586,1433,1258,1032,814,639,511,428,375,318,267,231,191,156,126,99,65,37,19,7,1,0,0
10,48,128,248,428,643,823,970,1100,1161,1172,1189,1193,1163,1109,1033,940,828,712,623,552,494,457,424,391,370,360,346,342,337,333,314,291,258,216,160
10,52,153,334,546,791,1038,1246,1369,1489,1539,1523,1463,1388,1280,1188,1097,1025,940,832,694,551,387,248,133,58,19,6,1,0,0,0,0,0,0,0
