0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
6740,6672,6528,6324,6058,5734,5388,5013,4634,4244,3840,3459,3092,2771,2495,2246,2009,1775,1553,1378,1213,1057,908,790,678,573,517,463,414,366,322,280,242,204,172,145,125,107,91,76,63,51,41,31,24,17,12,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6680,6555,6370,6121,5821,5464,5070,4667,4282,3909,3551,3194,2887,2619,2360,2101,1870,1669,1487,1325,1174,1028,881,738,594,471,380,301,230,168,108,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6669,6521,6308,6030,5696,5313,4875,4406,3898,3380,2855,2443,2086,1723,1428,1200,992,803,635,492,365,254,163,88,45,23,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6670,6514,6276,5976,5610,5186,4730,4271,3831,3381,2928,2512,2127,1782,1456,1171,922,731,583,481,395,324,263,208,171,142,120,103,88,75,62,51,40,31,24,17,12,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6671,6535,6342,6104,5810,5497,5179,4843,4483,4118,3733,3346,2986,2624,2272,1932,1653,1423,1217,1030,883,776,679,625,579,534,492,450,410,371,334,298,264,232,201,170,141,114,88,64,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6675,6537,6332,6077,5776,5442,5103,4746,4363,3974,3590,3216,2876,2587,2310,2050,1809,1587,1376,1220,1078,933,797,684,578,483,400,361,322,289,258,229,202,176,152,130,111,91,74,60,46,34,24,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6673,6521,6313,6057,5759,5412,5020,4586,4121,3667,3259,2878,2504,2142,1804,1556,1328,1117,922,748,624,522,432,356,287,227,175,129,92,61,39,25,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6671,6515,6287,5991,5660,5293,4916,4526,4132,3725,3295,2900,2500,2153,1841,1559,1295,1085,902,763,679,604,533,463,397,334,275,217,181,154,132,111,92,75,60,46,34,24,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6673,6527,6338,6092,5799,5472,5122,4753,4391,4040,3690,3340,3001,2692,2433,2193,1959,1743,1536,1334,1135,957,820,717,628,548,479,416,355,298,246,199,155,118,87,59,39,23,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6674,6526,6317,6072,5807,5520,5222,4904,4573,4243,3908,3574,3254,2975,2730,2530,2366,2224,2106,2002,1900,1801,1701,1603,1506,1411,1318,1251,1185,1121,1063,1006,950,896,845,796,749,702,656,613,570,529,490,453,416,380,347,314,283,254,226,199,174,150,128,107,87,69,52,37,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6740,6668,6535,6339,6088,5782,5436,5056,4661,4245,3839,3439,3043,2652,2291,2012,1755,1510,1281,1063,855,655,477,379,294,217,153,110,80,58,38,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
