0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,10,86,233,428,654,892,1154,1416,1672,1914,2159,2405,2648,2875,3074,3269,3459,3647,3829,3997,4159,4314,4454,4579,4696,4807,4910,5005,5094,5176,5252,5323,5390,5453,5512,5567,5617,5663,5705,5743,5778,5810,5840,5869,5895,5919,5933,5941,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,89,245,471,767,1124,1517,1943,2352,2758,3120,3412,3685,3933,4158,4362,4551,4711,4859,4994,5119,5237,5349,5455,5556,5637,5710,5771,5821,5861,5892,5915,5930,5938,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,83,218,405,618,871,1158,1472,1796,2131,2457,2773,3081,3372,3660,3925,4153,4358,4541,4695,4835,4961,5081,5195,5303,5405,5498,5582,5658,5723,5778,5824,5862,5892,5914,5928,5937,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,82,233,445,727,1056,1410,1744,2054,2362,2653,2941,3225,3515,3799,4081,4317,4495,4667,4832,4986,5133,5273,5400,5505,5584,5655,5716,5769,5814,5851,5882,5906,5924,5936,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,84,233,442,712,1034,1397,1783,2154,2525,2888,3220,3524,3806,4081,4344,4601,4829,4999,5139,5256,5341,5405,5462,5513,5558,5597,5634,5669,5702,5733,5762,5789,5814,5837,5857,5877,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,87,240,453,710,996,1289,1608,1943,2284,2625,2967,3298,3614,3897,4143,4351,4548,4736,4913,5058,5189,5308,5419,5480,5531,5577,5620,5661,5700,5737,5771,5804,5833,5859,5884,5907,5927,5937,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,80,215,408,654,952,1297,1691,2110,2537,2961,3395,3841,4259,4633,4952,5183,5382,5548,5682,5774,5850,5905,5921,5933,5940,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,87,240,456,732,1052,1412,1793,2200,2625,2971,3299,3626,3928,4214,4461,4685,4875,5038,5167,5277,5369,5454,5534,5601,5655,5701,5743,5781,5815,5845,5871,5893,5911,5925,5935,5941,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,84,235,456,726,1050,1384,1741,2090,2410,2720,2983,3247,3509,3768,4026,4284,4535,4767,4979,5153,5317,5469,5611,5742,5833,5885,5918,5933,5940,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,86,240,465,760,1097,1466,1828,2191,2568,2954,3335,3696,4028,4339,4559,4745,4914,5076,5216,5345,5467,5580,5664,5727,5775,5817,5855,5889,5914,5930,5940,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,85,231,431,675,951,1258,1592,1960,2319,2692,3071,3431,3786,4087,4366,4611,4837,5033,5196,5329,5449,5559,5639,5706,5767,5822,5872,5909,5927,5937,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,79,228,438,698,985,1299,1645,2020,2407,2776,3102,3410,3702,3973,4217,4423,4596,4748,4897,5038,5172,5294,5399,5491,5570,5637,5694,5744,5788,5826,5858,5884,5904,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,68,187,358,578,837,1131,1456,1783,2122,2479,2848,3213,3506,3746,3975,4196,4407,4611,4785,4921,5042,5157,5266,5365,5456,5541,5619,5688,5748,5798,5836,5867,5892,5912,5926,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,86,238,464,751,1087,1443,1799,2163,2548,2925,3289,3649,3963,4251,4517,4740,4909,5054,5185,5302,5410,5487,5555,5615,5668,5715,5757,5793,5821,5843,5862,5879,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,87,222,392,594,832,1102,1403,1722,2036,2348,2671,3007,3354,3702,4053,4348,4612,4865,5015,5150,5275,5389,5488,5579,5660,5730,5781,5825,5862,5892,5918,5938,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
