0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
30415,30369,30251,30057,29765,29407,28980,28480,27929,27316,26629,25884,25103,24284,23408,22498,21600,20714,19839,18963,18100,17287,16481,15717,14959,14232,13506,12814,12148,11492,10851,10226,9612,9005,8416,7838,7292,6818,6407,6028,5649,5296,4956,4627,4313,3997,3691,3401,3126,2871,2623,2381,2160,1961,1769,1594,1420,1271,1121,979,848,725,613,510,417,333,261,187,131,84,50,28,12,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30415,30359,30232,30032,29765,29432,29045,28589,28079,27525,26934,26297,25624,24917,24179,23416,22636,21864,21086,20290,19517,18747,17964,17205,16443,15690,14941,14185,13420,12656,11869,11131,10412,9710,9021,8353,7700,7082,6504,5944,5417,4912,4435,4001,3574,3154,2750,2363,2004,1667,1356,1113,917,749,596,454,329,224,136,60,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30415,30353,30224,30015,29745,29411,28997,28498,27919,27299,26639,25939,25195,24412,23595,22746,21859,20949,20011,19075,18160,17304,16481,15654,14824,14004,13187,12413,11657,10911,10200,9557,8918,8303,7710,7120,6570,6050,5584,5143,4719,4319,3946,3583,3222,2873,2543,2222,1919,1635,1395,1175,992,828,689,564,463,392,330,278,237,200,163,131,104,77,57,38,25,16,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30415,30366,30245,30045,29765,29410,28984,28458,27859,27195,26502,25763,24958,24121,23265,22390,21486,20536,19580,18623,17694,16741,15805,14902,14037,13174,12326,11527,10730,9953,9201,8525,7907,7322,6762,6217,5687,5198,4733,4279,3869,3524,3211,2923,2642,2384,2137,1906,1698,1507,1333,1181,1036,903,787,680,589,512,438,381,330,277,229,190,154,125,98,72,50,34,21,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30359,30239,30052,29783,29444,29049,28596,28087,27538,26938,26303,25640,24943,24201,23446,22669,21843,20985,20110,19240,18393,17576,16762,15995,15250,14505,13769,13033,12276,11530,10787,10055,9376,8710,8062,7417,6818,6233,5640,5071,4549,4048,3547,3077,2639,2242,1850,1596,1354,1138,924,719,532,386,314,254,201,163,120,85,57,37,21,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30363,30238,30021,29738,29389,28972,28483,27942,27347,26663,25910,25105,24315,23458,22541,21592,20606,19589,18542,17479,16422,15403,14409,13437,12472,11556,10698,9882,9180,8535,7894,7261,6658,6066,5492,4940,4480,4090,3735,3414,3124,2883,2659,2446,2241,2039,1845,1661,1482,1325,1183,1061,949,848,753,664,583,506,427,362,307,255,207,164,127,93,68,45,25,11,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
30415,30359,30229,30021,29754,29427,29040,28599,28096,27559,26977,26335,25653,24944,24203,23405,22567,21690,20759,19788,18833,17848,16843,15808,14774,13737,12688,11664,10679,9741,8866,8075,7335,6668,6032,5422,4853,4316,3781,3268,2772,2269,1842,1571,1339,1141,972,822,700,603,522,445,383,327,279,234,192,149,115,83,57,34,18,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30415,30362,30240,30022,29733,29368,28923,28423,27851,27227,26548,25804,24991,24145,23258,22318,21337,20333,19287,18256,17242,16259,15251,14329,13448,12608,11861,11171,10570,9986,9431,8878,8331,7801,7287,6817,6372,5943,5523,5132,4782,4452,4154,3870,3605,3345,3107,2878,2663,2467,2275,2088,1913,1738,1564,1403,1247,1109,977,848,729,627,530,438,354,284,225,171,118,70,36,15,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30365,30235,30029,29740,29387,28953,28457,27881,27229,26530,25773,24971,24155,23317,22441,21596,20723,19830,18913,17990,17070,16160,15241,14351,13546,12792,12080,11387,10747,10129,9518,8917,8342,7787,7240,6718,6218,5728,5266,4823,4397,3994,3617,3261,2924,2615,2323,2039,1769,1512,1265,1031,826,678,549,446,360,285,221,164,115,70,39,16,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30357,30228,30014,29721,29366,28940,28443,27878,27267,26593,25868,25112,24335,23510,22652,21746,20824,19932,19116,18309,17469,16677,15909,15162,14394,13641,12893,12173,11447,10733,10008,9328,8676,8039,7445,6853,6289,5728,5186,4724,4292,3879,3479,3103,2744,2420,2139,1884,1648,1425,1219,1021,838,665,508,374,256,153,74,41,18,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
