0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,0,0,0,10,52,166,341,579,879,1234,1650,2094,2567,3053,3557,4096,4628,5168,5715,6240,6758,7232,7654,8022,8331,8602,8852,9069,9271,9463,9629,9775,9916,10049,10161,10273,10371,10468,10556,10632,10710,10785,10847,10908,10961,11008,11055,11099,11136,11176,11206,11226,11243,11254,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,60,172,357,602,907,1238,1608,2015,2416,2821,3221,3621,3972,4288,4601,4908,5216,5507,5810,6126,6423,6720,7014,7291,7573,7868,8127,8351,8528,8681,8830,8970,9098,9221,9330,9448,9559,9662,9771,9870,9968,10068,10168,10258,10346,10430,10510,10584,10654,10723,10793,10853,10915,10975,11039,11095,11146,11192,11223,11249,11260,11261,11261,11261
0,0,0,0,10,56,175,359,603,925,1293,1724,2224,2736,3253,3793,4288,4781,5253,5670,6049,6409,6758,7102,7440,7776,8109,8441,8773,9093,9404,9657,9897,10124,10333,10531,10705,10862,10970,11047,11102,11146,11172,11195,11218,11235,11247,11256,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,55,167,337,577,878,1246,1652,2147,2692,3268,3847,4421,4979,5499,6044,6548,7024,7462,7831,8194,8522,8815,9090,9354,9592,9818,10026,10208,10361,10492,10610,10703,10788,10857,10926,10984,11038,11083,11128,11163,11191,11215,11236,11250,11260,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,55,164,339,587,892,1241,1642,2095,2552,3058,3558,4108,4646,5149,5614,6045,6478,6895,7270,7605,7918,8213,8500,8765,9022,9283,9520,9748,9953,10153,10331,10483,10617,10741,10848,10931,11011,11073,11124,11168,11202,11230,11247,11256,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,53,159,356,608,928,1317,1745,2207,2702,3215,3751,4327,4870,5405,5945,6436,6909,7374,7817,8228,8628,8998,9359,9705,10016,10281,10519,10686,10811,10920,11004,11084,11154,11205,11230,11245,11255,11260,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,56,174,353,620,959,1356,1793,2262,2749,3262,3753,4234,4726,5196,5634,6083,6475,6839,7187,7516,7858,8171,8442,8689,8953,9191,9417,9649,9857,10029,10192,10344,10483,10610,10714,10802,10873,10931,10986,11039,11087,11133,11166,11194,11217,11236,11248,11257,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,62,188,368,618,938,1314,1744,2235,2787,3345,3908,4466,5032,5609,6158,6714,7237,7741,8200,8580,8932,9241,9537,9762,9962,10131,10302,10460,10590,10705,10804,10885,10948,11003,11052,11098,11136,11171,11199,11220,11237,11251,11257,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,51,156,330,561,832,1154,1516,1934,2338,2758,3163,3572,3993,4437,4870,5298,5729,6181,6646,7105,7538,7948,8313,8651,8960,9249,9501,9727,9923,10091,10247,10389,10523,10628,10717,10792,10862,10924,10984,11035,11088,11134,11179,11209,11237,11253,11260,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
0,0,0,0,10,57,164,344,575,878,1241,1657,2130,2639,3185,3724,4243,4776,5292,5834,6346,6850,7323,7770,8179,8566,8938,9250,9485,9692,9885,10058,10222,10355,10468,10558,10650,10736,10803,10879,10948,11009,11059,11098,11132,11166,11194,11218,11233,11244,11253,11259,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261,11261
