0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
5933,5857,5710,5515,5289,5051,4789,4527,4271,4029,3784,3538,3295,3068,2869,2674,2484,2296,2114,1946,1784,1629,1489,1364,1247,1136,1033,938,849,767,691,620,553,490,431,376,326,280,238,200,165,133,103,74,48,24,10,2,0,0,0,0,0,0,0,0,0,0
5933,5854,5698,5472,5176,4819,4426,4000,3591,3185,2823,2531,2258,2010,1785,1581,1392,1232,1084,949,824,706,594,488,387,306,233,172,122,82,51,28,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5860,5725,5538,5325,5072,4785,4471,4147,3812,3486,3170,2862,2571,2283,2018,1790,1585,1402,1248,1108,982,862,748,640,538,445,361,285,220,165,119,81,51,29,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5861,5710,5498,5216,4887,4533,4199,3889,3581,3290,3002,2718,2428,2144,1862,1626,1448,1276,1111,957,810,670,543,438,359,288,227,174,129,92,61,37,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5859,5710,5501,5231,4909,4546,4160,3789,3418,3055,2723,2419,2137,1862,1599,1342,1114,944,804,687,602,538,481,430,385,346,309,274,241,210,181,154,129,106,86,66,49,36,25,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5856,5703,5490,5233,4947,4654,4335,4000,3659,3318,2976,2645,2329,2046,1800,1592,1395,1207,1030,885,754,635,524,463,412,366,323,282,243,206,172,139,110,84,59,36,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5863,5728,5535,5289,4991,4646,4252,3833,3406,2982,2548,2102,1684,1310,991,760,561,395,261,169,93,38,22,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5856,5703,5487,5211,4891,4531,4150,3743,3318,2972,2644,2317,2015,1729,1482,1258,1068,905,776,666,574,489,409,342,288,242,200,162,128,98,72,50,32,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5859,5708,5487,5217,4893,4559,4202,3853,3533,3223,2960,2696,2434,2175,1917,1659,1408,1176,964,790,626,474,332,201,110,58,25,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5857,5703,5478,5183,4846,4477,4115,3752,3375,2989,2608,2247,1915,1604,1384,1198,1029,867,727,598,476,363,279,216,168,126,88,54,29,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
