0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,58,182,361,542,679,804,930,1050,1141,1213,1277,1334,1381,1416,1444,1434,1422,1391,1373,1360,1342,1331,1306,1286,1245,1195,1120,1058,984,924,852,772,674,594,532,497,464,439,427,419,414,405,378,344,297,273,249,240,218,198,174,153,137,120,103,76,42,14,1,0,0,0,0,0,0,0,0,0,0
10,66,208,404,625,812,990,1147,1267,1361,1434,1506,1589,1677,1717,1683,1607,1560,1525,1455,1389,1342,1317,1282,1181,1081,963,898,847,805,771,727,693,655,615,574,528,479,438,402,377,343,310,279,254,231,196,157,117,88,61,36,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,168,325,497,661,823,976,1143,1287,1423,1512,1621,1697,1808,1912,2033,2127,2170,2141,2083,1999,1882,1715,1533,1349,1180,1012,883,727,546,405,306,267,232,214,195,172,150,134,119,108,97,88,76,67,55,46,33,22,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,213,423,649,854,1052,1247,1404,1536,1662,1793,1887,1944,1981,2013,2047,2085,2065,1984,1830,1644,1445,1300,1225,1156,1030,887,747,619,491,394,337,305,280,247,217,185,160,137,116,99,84,71,58,46,34,23,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,197,395,617,825,1021,1215,1372,1540,1640,1693,1690,1723,1781,1796,1738,1607,1468,1359,1286,1241,1195,1158,1129,1082,999,900,818,778,744,714,673,642,603,557,499,447,403,350,299,252,209,174,152,141,132,121,114,101,91,80,74,63,50,37,25,14,5,0,0,0,0,0,0,0,0,0,0,0
10,70,212,425,638,855,1049,1247,1408,1556,1706,1828,1955,2066,2175,2246,2197,2115,2007,1938,1799,1561,1322,1160,1078,1007,899,782,681,598,529,444,357,280,221,186,169,158,147,136,129,122,112,101,90,81,70,60,46,35,22,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,210,398,629,841,1054,1245,1421,1570,1672,1767,1835,1880,1902,1900,1883,1812,1713,1595,1498,1351,1169,991,888,825,767,715,691,672,668,661,644,616,564,507,452,409,375,335,296,265,237,220,204,194,176,145,97,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67,207,403,596,775,935,1090,1201,1310,1432,1566,1691,1738,1734,1661,1581,1486,1372,1269,1190,1149,1125,1088,1066,1031,1016,979,956,888,845,788,748,694,644,605,571,525,489,450,430,411,388,353,318,283,256,218,179,139,93,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,200,398,639,864,1081,1256,1416,1557,1671,1773,1868,1972,2040,2057,2012,1929,1854,1746,1642,1507,1379,1268,1168,1109,1029,958,887,789,704,615,561,475,393,316,246,177,127,94,72,55,44,36,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,70,196,396,615,825,1023,1185,1317,1422,1523,1634,1729,1807,1837,1862,1876,1891,1874,1824,1725,1605,1483,1411,1346,1237,1075,900,783,731,659,605,523,484,451,419,385,333,268,204,139,103,78,65,56,46,34,21,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
