0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,0,0,10,78,222,426,692,1016,1362,1737,2116,2506,2910,3291,3658,3979,4255,4504,4741,4975,5197,5372,5537,5693,5842,5960,6072,6177,6233,6287,6336,6384,6428,6470,6508,6546,6578,6605,6625,6643,6659,6674,6687,6699,6709,6719,6726,6733,6738,6743,6746,6749,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,70,195,380,629,929,1286,1680,2083,2468,2841,3199,3556,3863,4131,4390,4649,4880,5081,5263,5425,5576,5722,5869,6012,6156,6279,6370,6449,6520,6582,6642,6696,6746,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,81,229,442,720,1054,1437,1875,2344,2852,3370,3895,4307,4664,5027,5322,5550,5758,5947,6115,6258,6385,6496,6587,6662,6705,6727,6740,6748,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,80,236,474,774,1140,1564,2020,2479,2919,3369,3822,4238,4623,4968,5294,5579,5828,6019,6167,6269,6355,6426,6487,6542,6579,6608,6630,6647,6662,6675,6688,6699,6710,6719,6726,6733,6738,6742,6746,6749,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,79,215,408,646,940,1253,1571,1907,2267,2632,3017,3404,3764,4126,4478,4818,5097,5327,5533,5720,5867,5974,6071,6125,6171,6216,6258,6300,6340,6379,6416,6452,6486,6518,6549,6580,6609,6636,6662,6686,6709,6730,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,75,213,418,673,974,1308,1647,2004,2387,2776,3160,3534,3874,4163,4440,4700,4941,5163,5374,5530,5672,5817,5953,6066,6172,6267,6350,6389,6428,6461,6492,6521,6548,6574,6598,6620,6639,6659,6676,6690,6704,6716,6726,6734,6741,6746,6749,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,77,229,437,693,991,1338,1730,2164,2629,3083,3491,3872,4246,4608,4946,5194,5422,5633,5828,6002,6126,6228,6318,6394,6463,6523,6575,6621,6658,6689,6711,6725,6734,6741,6746,6749,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,79,235,463,759,1090,1457,1834,2224,2618,3025,3455,3850,4250,4597,4909,5191,5455,5665,5848,5987,6071,6146,6217,6287,6353,6416,6475,6533,6569,6596,6618,6639,6658,6675,6690,6704,6716,6726,6734,6741,6746,6749,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,77,223,412,658,951,1278,1628,1997,2359,2710,3060,3410,3749,4058,4317,4557,4791,5007,5214,5416,5615,5793,5930,6033,6122,6202,6271,6334,6395,6452,6504,6551,6595,6632,6663,6691,6711,6727,6739,6747,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
0,0,0,10,76,224,433,678,943,1230,1528,1846,2177,2507,2842,3176,3496,3775,4020,4220,4384,4526,4644,4748,4850,4949,5049,5147,5244,5339,5432,5499,5565,5629,5687,5744,5800,5854,5905,5954,6001,6048,6094,6137,6180,6221,6260,6297,6334,6370,6403,6436,6467,6496,6524,6551,6576,6600,6622,6643,6663,6681,6698,6713,6727,6739,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750,6750
