0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0,0,0,0,10,30,82,157,274,419,584,762,969,1201,1459,1742,2040,2385,2755,3105,3460,3843,4232,4637,5022,5380,5744,6109,6475,6814,7156,7479,7800,8116,8390,8655,8905,9127,9307,9474,9629,9795,9967,10094,10209,10337,10468,10587,10704,10808,10913,11004,11088,11150,11228
0,0,0,0,0,10,34,79,159,280,441,634,870,1134,1431,1767,2105,2471,2870,3281,3706,4126,4560,5013,5465,5934,6409,6866,7281,7675,8073,8490,8863,9215,9551,9851,10149,10403,10627,10824,11021,11207,11374,11515,11636,11762,11848,11926,11991,12045,12100,12148,12186,12218,12248,12279
0,0,0,0,0,10,36,76,144,250,390,578,795,1009,1266,1500,1779,2067,2367,2688,2993,3332,3703,4062,4443,4846,5239,5665,6084,6502,6919,7328,7733,8109,8455,8767,9082,9391,9680,9952,10236,10516,10756,10961,11162,11359,11537,11685,11816,11938,12035,12116,12188,12228,12262,12289
0,0,0,0,0,10,30,77,142,248,371,533,732,966,1188,1468,1751,2059,2375,2727,3062,3413,3764,4139,4491,4853,5231,5593,5962,6322,6708,7113,7493,7889,8280,8660,9011,9377,9690,9963,10206,10457,10681,10899,11111,11305,11495,11652,11797,11920,12025,12125,12200,12263,12307,12338
0,0,0,0,0,10,40,95,192,326,487,712,955,1233,1562,1903,2265,2650,3093,3578,4064,4538,5023,5494,5983,6457,6912,7384,7822,8241,8634,9020,9337,9660,9940,10196,10421,10625,10831,11029,11224,11396,11553,11686,11809,11911,12003,12073,12139,12215,12271,12321,12356,12373,12381,12381
0,0,0,0,0,10,36,87,168,281,425,609,818,1074,1378,1700,2098,2517,2961,3398,3882,4333,4817,5275,5770,6259,6723,7137,7531,7909,8278,8639,8934,9256,9571,9836,10124,10370,10611,10853,11074,11273,11464,11626,11777,11912,12018,12119,12221,12295,12332,12356,12374,12382,12385,12385
0,0,0,0,0,10,35,84,164,287,450,660,893,1150,1458,1800,2143,2545,2950,3367,3800,4270,4717,5186,5687,6211,6712,7222,7705,8154,8596,9004,9362,9671,9930,10132,10283,10444,10574,10711,10813,10900,11003,11087,11187,11251,11329,11409,11480,11562,11616,11676,11738,11800,11861,11912
0,0,0,0,0,10,30,74,146,260,420,604,810,1066,1343,1648,1999,2359,2763,3186,3648,4140,4580,5057,5513,5949,6374,6784,7193,7601,7997,8377,8751,9122,9483,9810,10103,10366,10591,10819,11027,11228,11391,11514,11626,11727,11815,11884,11946,12001,12061,12105,12162,12216,12258,12291
0,0,0,0,0,10,29,76,147,273,436,630,867,1141,1424,1753,2094,2467,2881,3284,3750,4220,4680,5134,5596,6077,6539,6990,7422,7854,8251,8621,8976,9324,9674,10010,10293,10569,10785,10990,11177,11329,11473,11600,11711,11823,11916,12007,12088,12141,12194,12232,12260,12283,12301,12325
0,0,0,0,0,10,29,75,152,254,403,567,777,1009,1264,1543,1837,2147,2493,2860,3243,3609,4005,4388,4786,5214,5633,6056,6496,6911,7318,7674,8011,8315,8605,8911,9198,9442,9690,9911,10135,10372,10584,10772,10961,11146,11311,11462,11609,11729,11848,11928,12028,12098,12157,12208
