0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,10,19,49,96,159,244,347,452,595,746,899,1080,1279,1510,1740,2004,2257,2533,2829,3126,3426,3756,4099,4467,4832,5167,5547,5916,6342,6746,7170,7617,8061,8542,8992,9397,9827,10265,10673,11108,11536,11972,12367,12758,13078,13389,13724,14040,14348,14646,14922,15179,15405,15651,15865,16101,16306,16510,16711,16887,17070,17229,17375,17505,17639,17772,17882,18001,18119
0,0,10,28,62,110,182,267,381,510,682,886,1119,1407,1720,2038,2389,2740,3105,3456,3843,4240,4603,4995,5396,5776,6178,6564,6982,7399,7822,8229,8637,9067,9509,9990,10449,10911,11384,11885,12380,12853,13334,13759,14163,14540,14870,15160,15457,15731,15995,16233,16429,16629,16803,16973,17149,17314,17489,17648,17775,17913,18042,18166,18274,18395,18507,18610,18694,18770,18835
0,0,10,30,66,131,212,329,472,655,842,1088,1347,1660,1986,2364,2713,3074,3451,3852,4275,4700,5129,5567,6018,6486,6961,7448,7954,8466,9001,9560,10103,10651,11207,11749,12256,12755,13219,13675,14153,14582,14984,15375,15740,16103,16430,16800,17103,17384,17620,17824,18015,18187,18363,18513,18662,18781,18877,18947,18991,19022,19030,19036,19038,19042,19044,19044,19044,19044,19044
0,0,10,31,71,136,230,340,495,686,897,1140,1425,1739,2066,2440,2794,3211,3608,4051,4494,4911,5362,5793,6249,6707,7193,7683,8214,8739,9267,9803,10305,10800,11259,11723,12166,12618,13036,13462,13880,14232,14546,14800,15024,15210,15378,15533,15683,15833,15978,16107,16225,16341,16462,16569,16680,16785,16895,16997,17107,17213,17315,17417,17502,17603,17693,17784,17876,17972,18076
0,0,10,29,68,138,227,346,494,681,901,1153,1437,1748,2090,2475,2870,3295,3741,4203,4649,5129,5609,6075,6549,7010,7474,7962,8407,8896,9344,9797,10249,10713,11195,11650,12134,12583,13015,13440,13871,14299,14699,15080,15461,15805,16134,16434,16719,16984,17227,17458,17674,17851,18007,18134,18234,18307,18391,18455,18510,18566,18619,18667,18709,18746,18787,18840,18879,18907,18927
0,0,10,32,69,133,226,363,506,692,924,1178,1470,1783,2162,2534,2963,3436,3937,4457,4973,5493,5996,6510,7005,7475,7983,8507,9003,9516,10024,10510,10968,11398,11833,12263,12682,13136,13600,14036,14423,14816,15181,15500,15800,16069,16333,16602,16835,17044,17229,17395,17555,17708,17849,17977,18083,18176,18287,18373,18448,18520,18576,18637,18693,18733,18770,18806,18850,18886,18920
0,0,10,29,70,127,208,307,439,621,825,1066,1306,1605,1913,2264,2637,3028,3398,3796,4221,4662,5173,5673,6190,6676,7196,7709,8207,8659,9143,9624,10080,10537,10968,11389,11862,12325,12779,13204,13605,13990,14339,14670,14976,15266,15592,15865,16111,16363,16561,16766,16971,17158,17348,17522,17686,17818,17957,18081,18204,18331,18445,18547,18635,18719,18792,18840,18887,18924,18956
0,0,10,30,70,143,249,378,547,749,981,1250,1554,1890,2250,2676,3095,3561,4025,4537,5052,5568,6106,6650,7202,7747,8292,8797,9292,9750,10185,10565,10936,11313,11715,12085,12464,12826,13126,13407,13675,13962,14214,14462,14718,14981,15239,15477,15723,15939,16168,16390,16585,16772,16935,17121,17277,17447,17594,17742,17880,18025,18165,18284,18384,18484,18576,18662,18734,18789,18839
0,0,10,31,67,120,199,306,438,602,785,988,1212,1492,1798,2144,2507,2875,3303,3781,4266,4754,5244,5732,6210,6675,7119,7600,8069,8561,9044,9524,9964,10437,10911,11382,11852,12327,12790,13261,13695,14099,14523,14906,15264,15606,15958,16309,16639,16943,17209,17449,17674,17861,18034,18177,18312,18427,18537,18622,18694,18749,18799,18845,18877,18907,18926,18949,18965,18982,18997
0,0,10,25,67,134,218,331,462,633,840,1087,1350,1631,1952,2299,2666,3074,3461,3888,4312,4729,5166,5614,6110,6598,7113,7602,8107,8606,9096,9574,10002,10445,10876,11282,11668,12054,12456,12827,13231,13582,13924,14264,14596,14921,15228,15535,15805,16050,16282,16509,16733,16926,17107,17291,17460,17601,17723,17834,17936,18049,18149,18248,18332,18414,18491,18552,18607,18661,18700
0,0,10,31,69,121,202,320,466,643,851,1105,1391,1692,2034,2378,2738,3128,3544,3975,4430,4907,5418,5950,6487,7077,7663,8240,8869,9471,10083,10673,11279,11827,12393,12942,13455,13932,14397,14807,15207,15541,15837,16083,16351,16569,16774,16950,17104,17244,17377,17505,17626,17757,17867,17976,18065,18167,18254,18333,18421,18500,18566,18651,18726,18792,18835,18869,18900,18930,18954
0,0,10,26,63,118,199,321,477,653,865,1126,1400,1706,2042,2432,2848,3255,3648,4078,4523,4964,5463,5939,6418,6891,7389,7848,8358,8855,9366,9895,10393,10877,11296,11689,12038,12411,12775,13131,13491,13843,14230,14586,14927,15231,15511,15776,16027,16285,16498,16698,16892,17042,17206,17342,17476,17598,17707,17814,17925,18034,18134,18223,18317,18393,18471,18540,18599,18656,18708
0,0,10,31,78,136,224,345,491,672,872,1085,1341,1641,1938,2277,2612,2965,3351,3756,4185,4639,5131,5587,6059,6563,7058,7571,8073,8578,9061,9532,9979,10455,10930,11423,11872,12350,12812,13281,13720,14101,14451,14752,15030,15312,15601,15886,16129,16355,16556,16740,16907,17081,17242,17385,17529,17663,17774,17887,17974,18045,18124,18197,18263,18330,18390,18461,18522,18576,18628
0,0,10,27,73,134,217,334,479,658,874,1124,1393,1670,1995,2342,2718,3113,3528,3917,4328,4760,5200,5680,6154,6626,7100,7559,8035,8489,8989,9500,10007,10489,10937,11353,11771,12155,12556,12947,13311,13679,14021,14372,14634,14904,15149,15366,15599,15809,15992,16176,16365,16546,16701,16848,16984,17123,17247,17368,17479,17587,17698,17799,17912,18008,18108,18190,18267,18340,18414
0,0,10,31,80,145,246,372,517,671,840,1052,1294,1592,1904,2256,2618,3005,3389,3786,4162,4594,5004,5432,5862,6294,6742,7181,7626,8094,8564,9002,9467,9936,10385,10842,11294,11764,12177,12548,12925,13313,13661,14009,14348,14680,14996,15330,15608,15874,16118,16340,16535,16693,16856,16992,17137,17268,17374,17486,17599,17684,17778,17866,17969,18071,18153,18236,18315,18397,18457
