0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,65,197,393,613,819,1011,1155,1257,1296,1298,1288,1285,1309,1333,1347,1325,1230,1119,1006,935,823,722,586,500,416,378,308,243,175,142,105,76,54,40,28,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,192,363,551,686,828,955,1094,1224,1366,1489,1572,1612,1588,1543,1453,1353,1216,1079,933,801,654,533,434,362,294,227,160,118,76,50,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,201,373,555,702,851,1001,1104,1130,1083,1044,1042,1038,1024,997,957,904,844,812,790,776,717,645,567,531,485,445,402,348,290,244,226,218,208,206,198,185,175,168,159,154,143,135,123,116,111,98,85,67,56,42,31,18,8,2,0,0,0,0,0,0,0,0,0,0,0
10,61,204,408,624,804,964,1119,1240,1305,1284,1249,1176,1142,1072,1027,958,919,878,852,817,748,657,543,464,407,368,349,313,277,233,210,194,187,175,168,154,150,143,137,125,116,108,105,96,90,80,74,65,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,178,344,526,703,878,1052,1208,1332,1387,1423,1414,1378,1289,1188,1084,990,912,877,841,798,715,604,499,423,397,379,365,338,303,258,218,180,146,102,64,32,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,193,396,607,785,913,1023,1077,1104,1112,1118,1128,1152,1170,1187,1169,1133,1059,976,902,849,810,769,677,572,470,408,340,271,217,186,164,143,129,120,114,94,80,68,59,45,29,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,201,397,608,792,966,1124,1285,1399,1458,1455,1398,1340,1272,1238,1195,1118,1004,886,788,706,644,592,562,527,471,396,316,250,191,138,79,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,66,185,357,548,706,836,912,972,1013,1037,1048,1022,1004,949,876,780,714,678,656,617,562,511,469,453,429,406,377,354,336,321,310,301,295,287,289,284,286,275,274,267,263,256,247,242,234,232,223,207,179,157,138,121,103,87,70,48,23,7,0,0,0,0,0,0,0,0
10,69,196,395,583,763,913,1058,1162,1255,1331,1412,1451,1479,1484,1475,1403,1290,1130,965,826,698,592,496,430,387,320,256,204,171,151,134,117,100,85,60,38,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,189,382,576,736,858,983,1097,1197,1258,1297,1325,1337,1330,1324,1327,1334,1263,1131,977,832,711,584,476,398,339,321,283,252,199,168,142,105,66,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,199,372,557,735,907,1063,1187,1259,1309,1342,1356,1271,1160,1072,1048,1022,981,941,901,865,797,722,627,566,504,461,363,278,197,173,148,117,88,72,63,49,32,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71,201,402,620,840,1021,1181,1274,1347,1395,1432,1403,1310,1198,1115,1051,986,918,856,804,756,719,660,570,467,392,358,333,277,219,159,135,108,91,78,65,47,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,188,353,518,680,836,978,1094,1179,1243,1243,1239,1230,1201,1173,1079,973,835,730,660,603,554,514,478,457,436,416,391,374,348,322,297,270,257,238,228,212,195,176,158,134,113,86,64,41,25,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64,200,376,576,754,928,1102,1262,1430,1582,1707,1769,1699,1537,1320,1151,1003,898,778,693,622,591,552,503,432,371,283,233,162,126,78,61,38,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,202,400,635,849,1040,1183,1271,1325,1370,1409,1421,1380,1338,1260,1180,1092,1025,950,863,780,721,618,519,404,333,266,215,179,150,128,109,88,66,39,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,211,394,582,741,886,1034,1167,1262,1324,1368,1410,1431,1423,1364,1273,1169,1081,956,809,667,575,514,467,423,386,354,316,271,232,192,166,127,93,63,44,29,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,194,375,553,663,721,763,802,854,924,980,1021,1012,1003,979,969,953,939,917,901,896,880,846,792,742,688,608,503,429,378,363,333,323,305,280,252,201,156,107,82,58,41,27,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,183,354,544,719,881,1017,1137,1211,1240,1190,1159,1111,1094,1042,1014,970,887,791,698,636,574,520,456,407,369,365,362,356,353,335,323,290,277,252,246,226,222,217,221,215,162,103,47,34,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,198,387,586,760,920,1090,1219,1359,1434,1489,1463,1417,1346,1263,1183,1112,1006,881,750,684,637,603,533,466,392,344,292,249,212,173,135,99,72,49,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67,196,376,564,735,895,1032,1151,1216,1251,1255,1258,1281,1307,1304,1292,1267,1253,1189,1049,918,773,673,543,434,338,266,212,175,151,130,108,86,68,47,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,195,370,544,675,788,873,917,941,964,995,991,983,974,964,949,906,870,825,797,782,778,775,772,725,645,566,522,509,487,462,450,438,429,358,262,153,87,54,31,20,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,196,382,592,780,935,1081,1190,1259,1288,1291,1285,1245,1213,1199,1208,1214,1202,1162,1107,1016,808,589,408,334,261,201,162,151,141,130,117,102,96,86,81,72,67,57,49,41,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,202,380,554,715,863,999,1108,1173,1220,1256,1296,1310,1256,1161,1049,980,903,823,726,649,585,524,484,453,433,402,383,363,337,293,234,192,164,150,147,136,135,119,117,107,102,87,74,60,49,36,25,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,201,397,593,759,886,999,1110,1233,1302,1347,1363,1397,1390,1340,1272,1201,1129,1032,915,779,638,544,477,437,402,376,366,348,295,195,86,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,70,214,420,645,827,932,997,1039,1115,1167,1204,1233,1271,1292,1300,1273,1239,1166,1059,952,854,750,619,493,397,342,298,278,261,242,223,213,209,162,99,31,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,195,371,561,733,919,1083,1226,1305,1393,1460,1525,1551,1547,1464,1328,1206,1147,1061,920,753,645,574,513,448,351,254,153,90,42,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,188,374,598,816,1023,1204,1333,1387,1373,1336,1266,1200,1111,1044,957,872,805,773,731,685,611,563,517,480,427,381,347,325,303,261,225,192,177,161,150,145,137,121,98,73,45,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,190,379,602,814,993,1108,1118,1080,1030,998,975,939,909,861,814,785,778,770,742,724,717,735,730,699,647,588,533,458,393,339,279,219,174,159,152,147,139,130,121,115,110,100,93,82,75,68,63,55,44,34,21,10,2,0,0,0,0,0,0,0,0,0,0,0,0
10,62,181,372,586,780,954,1101,1236,1302,1313,1302,1288,1280,1252,1200,1111,1020,925,871,813,788,752,706,617,531,455,366,277,200,176,167,147,128,105,92,85,79,72,63,54,44,29,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,194,394,600,779,934,1065,1209,1335,1444,1460,1413,1341,1281,1218,1134,1035,948,880,819,729,648,565,510,462,392,316,236,200,179,165,149,136,124,113,105,89,75,60,45,31,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,54,176,332,504,651,787,873,931,941,974,993,1022,1022,992,964,936,925,922,912,880,787,676,577,520,467,431,399,408,408,410,396,386,376,355,327,303,285,270,254,245,236,188,134,84,69,53,35,19,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,66,199,383,588,764,884,940,942,957,964,976,966,963,951,924,900,884,878,847,808,754,692,623,576,545,521,494,475,457,437,409,375,343,317,304,289,275,257,222,183,138,110,85,72,59,50,32,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,193,392,604,786,945,1092,1192,1263,1301,1322,1333,1315,1294,1209,1078,930,825,767,727,683,639,599,537,471,406,373,346,313,267,231,202,186,169,157,140,133,124,117,93,58,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,189,396,605,792,942,1108,1236,1328,1379,1414,1421,1348,1236,1090,995,925,878,828,786,742,680,573,464,379,343,324,305,282,255,228,209,199,189,186,181,161,131,73,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,200,372,560,724,901,1034,1142,1193,1235,1254,1262,1267,1258,1260,1261,1247,1184,1080,997,939,869,766,643,541,436,354,277,231,176,109,48,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,194,382,590,781,947,1073,1201,1276,1327,1353,1382,1389,1336,1258,1198,1170,1163,1121,1082,980,869,682,531,397,315,245,194,147,107,68,41,22,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64,189,367,534,671,775,865,918,953,963,978,979,999,1019,1053,1080,1093,1063,1018,938,859,776,709,644,567,499,451,419,397,389,376,366,345,303,253,202,177,155,133,110,86,61,44,31,19,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
