0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
10,42,131,272,428,596,773,982,1165,1307,1417,1546,1684,1810,1876,1937,1957,1935,1885,1863,1834,1778,1724,1713,1720,1682,1616,1544,1425,1264,1090,963,904,856,800,715,621,537,444,326,226,147,108,73,57,44,31,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48,137,271,411,571,713,847,951,1064,1176,1293,1343,1360,1352,1355,1367,1327,1282,1250,1238,1215,1143,1047,937,846,767,718,676,627,589,552,550,531,521,492,495,484,492,483,484,473,460,441,440,443,448,431,424,429,432,423,406,402,385,383,366,366,357,358,363,357,353,335,306,298,300,305,290,272,263,252,245,241,236,225,216,210,204,204,202,193,180,158,140,122,111,104,94,83,66,41,21,6
10,49,127,261,420,591,748,886,1031,1134,1270,1386,1557,1656,1747,1758,1769,1798,1831,1893,1904,1949,1931,1913,1808,1710,1584,1488,1390,1238,1081,930,824,709,609,550,500,465,416,408,386,358,336,301,280,223,187,136,121,96,75,38,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,133,267,422,573,748,914,1083,1190,1294,1379,1490,1597,1695,1762,1778,1760,1746,1728,1724,1663,1610,1515,1457,1428,1409,1379,1323,1257,1184,1098,1007,891,766,686,651,631,592,541,482,448,413,390,336,289,251,231,203,169,120,76,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,43,123,227,362,496,647,767,874,973,1071,1159,1206,1254,1308,1393,1469,1540,1586,1632,1652,1641,1611,1557,1520,1461,1434,1413,1387,1325,1269,1203,1105,971,862,798,752,718,663,615,558,539,501,473,417,369,324,290,280,260,245,216,183,160,144,140,130,114,94,87,77,65,49,35,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,52,137,274,451,634,800,957,1093,1226,1334,1452,1575,1679,1790,1845,1858,1852,1731,1615,1404,1306,1208,1141,1067,985,912,839,803,753,703,651,615,608,570,553,538,519,488,438,404,400,391,394,382,372,365,346,347,330,326,314,304,298,280,269,261,262,254,239,232,228,236,219,208,183,179,171,157,150,140,134,115,103,91,84,72,64,45,34,18,9,1,0,0,0,0,0,0,0,0,0,0,0
10,50,137,262,419,585,747,888,999,1143,1281,1442,1561,1675,1724,1772,1792,1841,1889,1935,1976,1973,1981,1972,1984,1935,1817,1623,1425,1222,1059,897,792,691,616,552,501,446,374,299,249,240,239,229,208,176,134,79,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,162,313,487,673,842,995,1113,1194,1291,1397,1504,1562,1610,1630,1613,1568,1531,1500,1420,1367,1305,1266,1234,1217,1245,1228,1219,1168,1125,1094,1081,1068,1045,1036,1006,930,797,680,585,529,481,460,426,398,356,290,225,166,134,105,75,45,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48,117,236,365,524,683,843,1001,1154,1322,1460,1580,1632,1673,1699,1707,1650,1554,1459,1402,1321,1230,1149,1104,1088,1055,1057,1052,1061,1035,1026,1011,986,957,937,930,885,842,772,739,689,647,575,502,422,365,309,267,238,216,198,177,157,142,126,117,102,87,62,51,38,26,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51,148,300,441,609,760,942,1106,1280,1449,1626,1768,1929,2070,2282,2425,2500,2444,2327,2207,2087,2035,1967,1897,1776,1597,1412,1212,1072,923,790,636,482,343,251,199,171,132,98,64,39,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48,139,268,425,593,743,894,1023,1161,1265,1372,1468,1543,1585,1561,1508,1442,1445,1459,1452,1421,1407,1434,1415,1387,1327,1306,1288,1294,1272,1204,1087,957,882,810,758,670,579,503,437,387,336,308,290,266,246,245,245,229,218,203,200,180,184,182,171,154,138,138,131,134,121,100,73,60,48,33,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,46,138,283,451,610,754,913,1103,1252,1373,1442,1563,1639,1710,1742,1750,1720,1630,1607,1576,1577,1540,1473,1407,1321,1274,1195,1085,967,849,782,716,689,665,649,619,571,544,531,522,511,501,510,502,485,468,446,410,370,316,260,194,155,123,95,69,61,53,38,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,133,278,460,634,795,987,1187,1372,1466,1520,1558,1611,1672,1722,1749,1742,1728,1682,1658,1600,1552,1480,1426,1348,1272,1159,1056,957,891,849,800,756,716,680,619,568,496,457,407,392,368,355,333,311,296,275,260,248,247,247,242,227,214,193,161,129,99,83,58,31,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,41,131,258,413,584,759,941,1102,1276,1414,1550,1683,1800,1913,1958,2010,2010,1982,1965,1938,1950,1902,1866,1794,1755,1694,1639,1548,1406,1254,1117,978,780,585,421,332,241,183,142,120,102,84,66,56,43,34,24,15,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
