0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
9425,9384,9302,9173,8974,8723,8425,8100,7720,7302,6888,6466,6074,5689,5285,4935,4595,4293,4016,3760,3522,3306,3099,2905,2732,2557,2407,2264,2134,2016,1903,1797,1695,1595,1493,1393,1295,1207,1118,1027,942,854,768,687,602,525,445,377,304,250,206,154,113,77,51,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9391,9306,9169,8975,8694,8385,8035,7653,7252,6843,6439,6052,5664,5271,4901,4523,4175,3864,3558,3261,2983,2705,2435,2191,2001,1828,1671,1508,1365,1221,1076,941,818,686,584,494,397,323,266,220,183,151,113,84,49,26,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9390,9305,9168,8969,8714,8434,8095,7739,7378,6976,6527,6068,5603,5124,4642,4171,3692,3250,2828,2441,2069,1718,1451,1203,1000,800,619,460,324,239,169,111,70,40,16,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9391,9305,9162,8971,8749,8486,8193,7874,7541,7202,6820,6455,6074,5698,5322,4935,4546,4147,3739,3299,2853,2434,2051,1693,1376,1107,900,712,550,420,324,259,205,162,119,90,62,36,21,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9390,9294,9144,8940,8707,8409,8083,7692,7240,6773,6282,5769,5272,4777,4300,3810,3348,2894,2503,2151,1852,1583,1373,1193,1016,867,759,675,600,528,465,404,340,283,230,183,134,102,77,55,38,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9382,9280,9150,8968,8747,8487,8189,7854,7512,7158,6789,6408,5988,5586,5195,4810,4426,4085,3769,3516,3276,3048,2824,2605,2401,2189,2007,1827,1667,1517,1378,1241,1121,1008,891,785,683,577,492,417,342,278,216,162,119,79,53,35,22,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9389,9308,9157,8951,8709,8410,8076,7676,7221,6759,6262,5770,5248,4765,4269,3828,3400,3038,2665,2337,2023,1734,1497,1292,1135,1004,892,800,706,624,557,486,428,374,320,267,218,180,146,112,81,59,35,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9386,9307,9175,8994,8776,8521,8191,7849,7476,7052,6599,6140,5670,5220,4759,4298,3865,3444,3066,2679,2311,1977,1691,1453,1253,1073,920,811,725,652,584,519,456,399,345,289,244,203,157,122,81,52,31,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9389,9314,9166,8958,8721,8439,8115,7764,7387,7001,6612,6224,5823,5416,5048,4717,4379,4043,3736,3440,3175,2895,2614,2351,2090,1835,1575,1347,1125,914,751,623,517,435,354,296,244,206,177,153,122,94,74,53,36,22,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9425,9391,9295,9158,8971,8727,8442,8143,7814,7489,7127,6817,6495,6163,5836,5543,5252,4954,4660,4392,4143,3890,3650,3413,3205,3013,2838,2670,2533,2396,2273,2147,2029,1904,1796,1681,1570,1460,1359,1256,1154,1045,940,840,748,660,585,513,435,368,298,250,198,159,118,87,62,36,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
