0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,89,249,478,718,956,1196,1434,1654,1826,1973,2112,2274,2433,2580,2700,2786,2850,2899,2942,2914,2871,2816,2814,2809,2791,2744,2676,2603,2503,2416,2286,2131,1932,1773,1609,1405,1198,1046,965,870,786,698,602,493,401,346,301,252,209,179,159,140,122,103,80,58,36,17,5,0,0,0,0,0,0,0,0,0,0
10,88,248,476,715,953,1195,1416,1623,1808,1982,2136,2264,2358,2419,2470,2538,2604,2673,2740,2811,2809,2770,2679,2639,2595,2595,2603,2589,2517,2438,2327,2257,2141,1977,1804,1656,1509,1306,1094,977,914,861,813,755,589,423,283,259,221,160,98,58,40,23,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,241,459,679,888,1090,1294,1490,1685,1872,2006,1989,1936,1884,1923,1935,1916,1905,1873,1826,1771,1737,1746,1755,1775,1794,1798,1797,1791,1795,1789,1773,1756,1746,1745,1667,1574,1404,1296,1189,1142,1099,1054,1012,966,883,798,706,653,608,549,499,454,446,439,432,422,414,406,400,393,386,379,371,363,355,348,341,334
10,87,246,475,716,956,1197,1426,1647,1850,2040,2218,2360,2507,2604,2709,2783,2845,2901,2952,2938,2834,2714,2656,2642,2529,2393,2269,2213,2159,2088,2013,1923,1715,1500,1307,1225,1134,1051,982,942,890,831,768,706,651,600,557,514,471,422,368,314,263,216,171,137,116,104,93,82,72,63,53,42,30,18,8,2,0
10,86,247,475,713,939,1164,1364,1529,1681,1837,2009,2145,2250,2341,2444,2559,2667,2775,2879,2958,2997,2992,2898,2764,2615,2524,2448,2357,2279,2216,2184,2153,2126,2099,2067,2004,1864,1668,1406,1117,842,643,531,447,352,271,207,173,150,134,123,112,101,90,77,65,53,42,30,17,7,1,0,0,0,0,0,0,0
10,87,241,458,679,891,1097,1300,1502,1687,1848,1981,2095,2198,2252,2303,2292,2227,2132,2034,1958,1878,1826,1810,1801,1747,1702,1656,1662,1665,1668,1671,1675,1582,1459,1319,1258,1217,1179,1139,1100,1064,1037,1005,976,945,911,858,815,780,769,756,744,728,713,698,680,656,624,591,557,528,498,472,449,431,413,390,363,335
10,90,249,477,716,947,1157,1352,1514,1634,1732,1838,1975,2103,2206,2227,2224,2201,2224,2239,2208,2159,2099,2079,2059,2043,2031,2015,1992,1944,1785,1625,1484,1460,1438,1411,1377,1342,1306,1240,1146,1045,968,916,864,819,784,765,749,731,712,699,667,610,551,515,498,470,438,415,405,395,380,362,347,335,324,311,298,286
10,88,249,479,706,922,1132,1348,1535,1715,1883,2069,2243,2391,2502,2574,2644,2693,2684,2591,2508,2478,2490,2467,2347,2227,2113,2067,1990,1923,1869,1852,1838,1827,1819,1713,1601,1485,1463,1442,1417,1371,1259,1140,1034,987,817,647,444,372,307,281,256,231,208,190,177,166,153,140,128,117,104,92,80,68,56,43,31,17
10,88,248,472,705,927,1146,1358,1567,1775,1986,2199,2412,2622,2755,2851,2917,3025,3132,3223,3253,3099,2919,2724,2689,2665,2691,2707,2597,2449,2190,2036,1857,1725,1508,1334,1211,1172,1108,1010,895,799,737,690,647,521,397,274,235,194,150,111,84,67,55,42,30,18,8,2,0,0,0,0,0,0,0,0,0,0
10,87,245,465,690,898,1101,1297,1500,1702,1897,2073,2243,2407,2571,2717,2850,2959,2984,2929,2861,2827,2841,2843,2798,2706,2571,2465,2345,2226,2092,1967,1866,1791,1748,1709,1666,1587,1379,1170,985,905,818,736,668,606,540,469,393,317,250,190,138,94,60,37,19,8,2,0,0,0,0,0,0,0,0,0,0,0
10,89,248,476,717,948,1158,1357,1536,1707,1853,1970,2070,2157,2245,2328,2392,2445,2485,2504,2465,2426,2396,2419,2424,2428,2428,2430,2431,2381,2303,2143,2022,1921,1893,1865,1832,1793,1636,1476,1311,1257,1202,1148,1092,1029,857,676,463,361,267,218,174,139,107,78,56,38,24,11,3,0,0,0,0,0,0,0,0,0
10,89,246,468,688,902,1112,1327,1542,1758,1972,2187,2400,2609,2726,2822,2899,3052,3200,3330,3428,3513,3533,3477,3358,3226,3134,2943,2730,2422,2173,1898,1671,1453,1303,1149,984,825,704,636,562,486,415,357,306,255,215,190,177,167,157,148,137,126,115,105,96,86,76,65,54,44,34,25,14,6,1,0,0,0
10,85,244,473,710,921,1115,1300,1490,1674,1842,1986,2081,2096,2094,2103,2152,2204,2266,2340,2402,2435,2436,2394,2331,2263,2199,2124,2060,2009,1968,1930,1898,1852,1786,1715,1669,1638,1591,1513,1437,1294,1138,981,913,894,876,858,840,768,643,517,445,426,406,385,340,294,247,221,196,170,142,116,94,78,64,51,39,26
10,90,249,479,711,924,1093,1224,1330,1433,1526,1614,1687,1748,1799,1848,1844,1821,1782,1778,1745,1699,1581,1475,1368,1332,1293,1256,1224,1178,1142,1104,1101,1103,1113,1123,1129,1136,1142,1150,1151,1150,1150,1107,950,788,663,651,640,635,630,624,618,612,607,601,596,590,585,580,575,570,564,558,552,547,542,537,530,524
10,90,248,477,716,936,1148,1342,1535,1716,1894,2075,2246,2413,2569,2693,2790,2862,2943,2985,2948,2891,2858,2834,2736,2616,2521,2480,2368,2200,2010,1868,1788,1726,1651,1580,1472,1353,1212,1092,1014,859,720,579,537,500,467,426,386,350,323,298,274,251,231,215,203,192,180,168,123,77,31,16,6,0,0,0,0,0
10,82,231,438,656,869,1086,1302,1518,1731,1924,2094,2233,2326,2396,2374,2369,2330,2311,2243,2187,2179,2201,2213,2157,2031,1831,1653,1515,1415,1344,1296,1286,1264,1229,1194,1167,1144,1107,1062,1018,989,971,955,936,912,884,852,818,788,759,733,707,681,657,635,619,603,590,574,559,543,527,509,490,472,453,430,400,368
10,85,237,442,635,807,971,1115,1237,1333,1414,1492,1577,1676,1776,1875,1969,2058,2135,2190,2218,2237,2265,2310,2361,2410,2446,2467,2482,2500,2519,2536,2451,2245,1990,1778,1587,1379,1213,1089,1013,941,909,880,845,807,768,733,705,682,658,634,611,590,570,548,525,502,480,411,345,282,270,258,248,238,228,216,204,192
10,87,244,456,666,861,1059,1235,1389,1510,1633,1753,1876,1967,2019,2065,2136,2235,2338,2411,2461,2465,2365,2275,2209,2252,2289,2260,2151,2004,1874,1784,1665,1515,1378,1289,1264,1249,1239,1228,1216,1194,1175,1160,1154,1145,1138,1080,1011,935,907,862,814,764,616,473,337,326,315,303,292,281,270,259,248,237,225,212,137,66
10,90,247,469,690,907,1118,1324,1516,1696,1871,2000,2104,2188,2275,2335,2364,2354,2341,2290,2228,2173,2160,2171,2126,2060,1998,1985,1983,1987,1981,1963,1935,1840,1735,1621,1555,1441,1313,1188,1118,1071,1037,1001,956,909,867,833,803,771,736,697,655,615,582,556,536,516,465,381,293,235,209,184,162,144,130,117,73,34
10,90,245,466,694,920,1124,1303,1456,1608,1738,1829,1878,1921,1978,2020,2056,2090,2149,2151,2114,2064,2042,2022,1989,1935,1848,1760,1653,1568,1485,1449,1439,1420,1391,1361,1291,1179,1063,991,952,901,859,831,813,796,787,787,786,785,782,773,760,744,728,710,690,670,651,634,615,593,563,525,482,443,417,402,394,387
10,85,231,439,656,873,1090,1300,1498,1675,1828,1980,2114,2226,2325,2421,2500,2522,2519,2507,2518,2518,2497,2474,2465,2448,2387,2324,2300,2246,2123,1986,1907,1891,1890,1791,1688,1574,1549,1518,1476,1440,1273,1100,915,844,772,698,611,500,396,319,274,225,170,117,82,63,53,42,30,17,7,1,0,0,0,0,0,0
10,86,239,456,685,905,1116,1306,1487,1662,1820,1974,2125,2290,2456,2605,2736,2848,2952,2978,2990,2960,2946,2898,2857,2838,2814,2687,2504,2324,2228,2166,2091,1991,1880,1747,1591,1398,1211,1053,952,874,815,750,604,466,336,291,249,212,182,157,136,115,95,73,51,30,14,5,1,0,0,0,0,0,0,0,0,0
10,88,248,478,718,957,1196,1436,1675,1915,2156,2380,2552,2645,2603,2550,2502,2500,2439,2345,2265,2134,2024,1844,1747,1653,1594,1542,1476,1436,1389,1351,1323,1292,1254,1213,1166,1115,1030,951,880,850,823,798,771,745,708,653,595,546,518,498,488,482,478,472,467,461,457,452,446,439,432,424,415,405,397,390,383,376
10,88,246,473,712,945,1173,1398,1623,1834,2027,2199,2359,2519,2657,2708,2723,2701,2694,2651,2620,2614,2620,2600,2574,2536,2475,2351,2186,2020,1893,1808,1754,1718,1685,1656,1629,1595,1561,1441,1299,1134,1042,880,725,582,536,507,481,458,435,352,264,173,137,101,68,40,20,7,1,0,0,0,0,0,0,0,0,0
10,89,245,466,689,907,1121,1327,1506,1640,1732,1811,1859,1893,1892,1907,1933,1983,2041,2093,2137,2172,2165,2103,2043,2000,2001,1940,1873,1742,1648,1551,1488,1431,1388,1362,1332,1301,1273,1245,1214,1179,1144,1110,1081,1054,1036,1023,1016,1006,882,758,635,623,610,597,586,565,542,514,489,464,443,428,414,400,386,372,357,342
10,89,246,466,686,901,1112,1307,1491,1658,1804,1911,2004,2106,2217,2287,2342,2394,2478,2528,2575,2589,2568,2497,2344,2229,2138,2097,2001,1858,1703,1554,1442,1374,1357,1345,1335,1321,1306,1284,1253,1136,1006,876,829,800,782,768,752,705,656,606,584,561,538,515,493,470,447,424,406,394,385,377,365,342,301,234,163,97
10,87,243,458,680,889,1086,1268,1442,1621,1795,1959,2113,2232,2342,2425,2519,2599,2633,2628,2613,2626,2638,2619,2596,2583,2545,2447,2332,2232,2157,2066,1969,1869,1771,1681,1604,1517,1391,1197,1011,831,730,653,563,478,400,390,383,375,367,359,352,344,336,327,318,308,294,276,254,232,209,188,166,145,120,97,79,67
10,87,247,467,692,904,1112,1281,1420,1541,1666,1787,1872,1944,1988,2037,2079,2130,2173,2191,2169,2055,1946,1830,1755,1628,1521,1455,1444,1447,1454,1466,1477,1490,1500,1512,1496,1445,1386,1345,1330,1315,1299,1287,1272,1258,1241,1207,1157,1106,1073,1055,1037,1019,994,952,880,806,725,644,510,398,314,290,269,245,222,196,173,149
10,89,245,465,693,919,1145,1361,1571,1765,1923,2056,2188,2313,2438,2547,2636,2713,2702,2680,2648,2684,2660,2624,2578,2607,2628,2633,2628,2623,2622,2539,2399,2250,2108,1965,1679,1444,1220,1133,1058,999,935,845,748,655,450,265,87,57,39,27,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,249,476,685,865,1004,1138,1262,1398,1530,1662,1791,1913,2014,2097,2158,2220,2268,2320,2364,2415,2464,2503,2467,2389,2292,2245,2229,2224,2205,2155,2092,2035,1988,1931,1861,1784,1712,1653,1609,1507,1361,1165,1025,895,820,757,721,672,614,557,495,434,373,314,251,186,131,91,68,51,35,20,8,2,0,0,0,0
10,84,238,455,678,891,1096,1288,1470,1615,1732,1835,1918,2006,2039,2084,2122,2184,2240,2290,2340,2398,2340,2275,2129,2077,1981,1928,1877,1858,1852,1841,1830,1778,1716,1643,1604,1563,1524,1482,1442,1376,1274,1176,1098,1058,1009,967,838,721,602,560,518,484,464,437,403,362,322,285,255,234,219,207,195,183,171,160,148,136
10,88,245,474,715,957,1198,1414,1625,1823,2032,2230,2413,2519,2598,2633,2684,2669,2588,2472,2388,2362,2366,2310,2238,2161,2137,2125,2117,2106,2071,2000,1917,1850,1815,1739,1661,1503,1388,1270,1224,1149,1039,931,858,823,784,742,695,630,545,449,359,286,231,187,144,103,74,57,45,31,16,5,0,0,0,0,0,0
10,86,237,453,670,872,1066,1244,1409,1559,1707,1844,1960,2066,2150,2229,2295,2347,2369,2386,2408,2411,2328,2242,2175,2181,2194,2219,2141,2040,1922,1789,1654,1487,1411,1327,1266,1177,1069,973,917,889,824,762,709,692,675,655,633,595,552,513,487,467,449,435,427,421,415,406,388,366,347,333,323,312,304,296,287,277
10,88,249,477,708,929,1142,1357,1574,1794,1988,2171,2343,2525,2617,2644,2608,2618,2633,2646,2598,2550,2502,2464,2374,2286,2218,2114,2004,1896,1871,1858,1781,1706,1608,1576,1540,1519,1503,1491,1477,1391,1234,1005,752,561,447,428,417,407,396,383,370,357,337,312,251,198,151,140,130,119,108,97,87,74,55,34,15,5
10,86,244,466,696,922,1150,1376,1595,1791,1950,2054,2149,2246,2360,2463,2565,2669,2773,2801,2779,2669,2478,2299,2172,2134,2080,2014,1965,1934,1919,1919,1911,1821,1710,1588,1495,1409,1329,1290,1249,1196,1128,1038,936,824,736,674,638,607,582,560,539,483,394,303,246,221,195,161,126,93,63,33,11,1,0,0,0,0
10,89,248,470,691,902,1097,1269,1414,1553,1698,1849,1998,2132,2207,2266,2323,2415,2504,2505,2474,2426,2402,2355,2299,2277,2288,2297,2314,2334,2346,2352,2356,2331,2238,2048,1808,1600,1457,1379,1315,1170,1013,839,761,705,667,613,543,461,384,317,267,237,219,208,198,189,180,170,160,150,140,125,102,74,48,27,12,3
10,88,247,477,702,904,1089,1276,1468,1657,1848,2040,2228,2392,2511,2580,2590,2577,2511,2427,2312,2241,2182,2120,2039,1970,1895,1834,1761,1708,1651,1598,1556,1513,1478,1442,1400,1325,1230,1130,1054,998,910,803,705,654,631,601,570,541,523,512,505,498,490,483,477,471,461,438,405,367,332,306,290,281,273,264,254,245
10,87,249,479,722,957,1196,1403,1546,1643,1699,1766,1824,1889,1955,2022,2100,2161,2164,2155,2159,2207,2242,2149,1991,1829,1780,1788,1805,1821,1837,1853,1867,1858,1835,1799,1766,1729,1687,1620,1478,1338,1223,1185,1146,1107,1069,1037,1010,984,916,801,675,575,509,447,402,372,349,324,291,259,229,204,178,141,110,83,69,56
10,86,230,420,598,762,928,1095,1264,1425,1556,1601,1619,1641,1701,1728,1743,1771,1832,1897,1960,2021,2079,2132,2183,2230,2232,2181,2123,2101,2058,2002,1872,1697,1518,1399,1371,1342,1313,1283,1254,1223,1190,1154,1119,1091,1068,1046,980,917,861,852,845,837,827,818,736,650,562,548,539,530,518,504,431,335,238,198,183,170
10,87,248,477,719,957,1192,1416,1632,1835,2025,2185,2293,2376,2457,2568,2671,2758,2770,2769,2725,2731,2745,2728,2638,2533,2418,2339,2229,2069,1910,1752,1674,1589,1518,1462,1426,1389,1340,1233,1044,854,707,642,592,557,526,498,470,446,427,409,389,367,343,322,304,291,279,258,230,197,137,82,31,16,6,1,0,0
10,88,247,477,719,953,1175,1365,1536,1698,1873,2028,2139,2168,2173,2172,2203,2235,2267,2300,2333,2302,2240,2173,2169,2157,2124,2069,2035,2013,2002,1949,1846,1720,1616,1546,1478,1412,1350,1300,1264,1230,1185,1126,1046,971,899,839,705,577,432,375,331,322,314,305,296,287,277,269,260,252,243,234,225,216,207,197,186,176
10,89,248,468,690,905,1122,1337,1552,1765,1974,2146,2281,2355,2422,2486,2579,2675,2759,2791,2730,2651,2587,2590,2563,2548,2524,2493,2390,2179,1926,1684,1517,1357,1223,1114,1039,987,942,930,913,892,871,853,839,824,810,796,781,761,729,686,630,569,503,438,373,314,263,221,184,148,113,78,51,30,15,5,0,0
