0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
14023,13975,13851,13662,13433,13172,12858,12503,12122,11717,11290,10845,10383,9909,9429,8939,8475,8007,7548,7102,6647,6206,5771,5341,4920,4526,4146,3800,3468,3162,2876,2616,2390,2202,2022,1858,1705,1558,1419,1278,1139,1005,873,761,661,576,488,412,336,270,214,162,117,77,42,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13967,13825,13619,13342,13013,12629,12195,11746,11268,10761,10240,9679,9084,8523,7996,7477,6963,6471,6022,5574,5129,4705,4292,3948,3624,3329,3050,2777,2524,2279,2050,1831,1624,1435,1257,1096,956,819,694,579,476,384,300,222,153,104,65,36,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13974,13865,13698,13477,13204,12875,12501,12061,11588,11078,10549,9967,9381,8741,8055,7348,6614,5885,5207,4531,3886,3325,2816,2353,1976,1636,1341,1093,909,795,688,603,528,456,389,333,284,239,199,165,131,102,77,55,35,22,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13964,13820,13600,13315,12966,12548,12068,11562,11012,10406,9769,9125,8462,7788,7112,6415,5703,5047,4431,3873,3403,2986,2573,2178,1830,1543,1291,1083,924,800,689,587,495,409,340,278,224,180,141,108,81,57,37,23,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13973,13836,13628,13356,13011,12607,12141,11639,11067,10501,9946,9377,8778,8165,7581,7040,6558,6113,5681,5272,4872,4486,4114,3743,3404,3115,2843,2586,2337,2099,1872,1664,1457,1269,1107,958,822,704,608,523,452,399,349,300,258,217,179,144,116,88,64,42,25,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13963,13821,13598,13325,12966,12549,12078,11558,10993,10372,9730,9038,8306,7555,6792,6109,5440,4785,4171,3641,3224,2849,2481,2146,1842,1582,1364,1161,984,835,717,627,555,496,441,386,338,294,250,209,172,138,108,82,57,38,22,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13961,13823,13625,13332,12982,12571,12087,11561,11001,10415,9794,9166,8535,7892,7266,6652,6080,5553,5057,4582,4202,3888,3591,3314,3063,2824,2599,2372,2152,1931,1711,1508,1315,1147,1001,863,738,626,528,442,361,291,222,157,97,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13966,13826,13620,13370,13051,12685,12280,11850,11375,10848,10284,9684,9110,8550,8023,7529,7064,6651,6260,5874,5502,5135,4786,4436,4104,3770,3457,3148,2882,2612,2360,2134,1918,1716,1529,1347,1191,1040,897,761,629,509,408,311,226,152,93,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13968,13833,13625,13329,12969,12544,12073,11553,10987,10402,9780,9119,8430,7740,7062,6418,5811,5208,4672,4169,3701,3293,2901,2533,2184,1872,1575,1297,1083,871,682,522,396,289,206,150,112,79,56,40,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13963,13837,13627,13348,13012,12604,12163,11695,11182,10640,10061,9453,8833,8224,7591,6957,6333,5717,5133,4608,4112,3650,3197,2766,2413,2122,1866,1630,1391,1207,1025,868,723,574,449,338,241,181,134,102,78,56,37,22,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14023,13974,13836,13625,13337,12984,12555,12058,11480,10822,10131,9469,8807,8145,7477,6811,6148,5586,5051,4521,3997,3515,3101,2697,2305,1950,1650,1425,1242,1074,925,793,669,555,455,361,281,213,153,106,67,43,24,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
