0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
11251,11209,11095,10920,10682,10382,10027,9611,9167,8694,8208,7704,7165,6633,6093,5546,5021,4503,4029,3607,3239,2930,2659,2409,2192,1990,1798,1632,1486,1345,1212,1100,988,890,793,705,629,551,476,414,353,300,253,206,162,125,85,55,35,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11201,11089,10904,10659,10354,10023,9653,9246,8845,8440,8040,7640,7289,6973,6660,6353,6045,5754,5451,5135,4838,4541,4247,3970,3688,3393,3134,2910,2733,2580,2431,2291,2163,2040,1931,1813,1702,1599,1490,1391,1293,1193,1093,1003,915,831,751,677,607,538,468,408,346,286,222,166,115,69,38,12,1,0,0,0,0,0,0,0
11251,11205,11086,10902,10658,10336,9968,9537,9037,8525,8008,7468,6973,6480,6008,5591,5212,4852,4503,4159,3821,3485,3152,2820,2488,2168,1857,1604,1364,1137,928,730,556,399,291,214,159,115,89,66,43,26,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11206,11094,10924,10684,10383,10015,9609,9114,8569,7993,7414,6840,6282,5762,5217,4713,4237,3799,3430,3067,2739,2446,2171,1907,1669,1443,1235,1053,900,769,651,558,473,404,335,277,223,178,133,98,70,46,25,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11206,11097,10922,10674,10369,10020,9619,9166,8709,8203,7703,7153,6615,6112,5647,5216,4783,4366,3991,3656,3343,3048,2761,2496,2239,1978,1741,1513,1308,1108,930,778,644,520,413,330,250,188,137,93,59,31,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11208,11102,10905,10653,10333,9944,9516,9054,8559,8046,7510,6934,6391,5856,5316,4825,4352,3887,3444,3033,2633,2263,1902,1556,1245,980,742,575,450,341,257,177,107,56,31,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11205,11087,10908,10641,10302,9905,9468,8999,8512,7999,7508,7027,6535,6065,5627,5178,4786,4422,4074,3745,3403,3090,2819,2572,2308,2070,1844,1612,1404,1232,1069,917,778,651,547,459,388,330,275,222,174,128,95,67,44,25,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11199,11073,10893,10643,10323,9947,9517,9026,8474,7916,7353,6795,6229,5652,5103,4547,4024,3520,3061,2681,2329,2020,1724,1499,1299,1130,959,801,671,556,457,376,313,258,209,163,125,90,62,41,24,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11210,11105,10931,10700,10429,10107,9745,9327,8923,8503,8098,7689,7268,6824,6391,5963,5532,5080,4615,4156,3723,3313,2948,2610,2301,2012,1760,1534,1338,1170,1014,872,738,633,544,469,399,337,277,226,173,127,82,52,24,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11204,11097,10917,10686,10383,10020,9604,9131,8622,8076,7537,7018,6485,5969,5427,4915,4411,3938,3491,3082,2695,2323,2011,1776,1569,1376,1203,1039,906,793,703,611,525,458,382,313,252,202,163,129,95,67,43,28,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
