0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15615,15579,15493,15339,15135,14875,14553,14185,13765,13317,12817,12269,11717,11090,10481,9852,9290,8759,8231,7742,7258,6773,6295,5811,5307,4843,4366,3909,3467,3011,2573,2152,1742,1361,1053,815,645,520,405,310,240,177,116,69,39,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,15569,15465,15309,15092,14826,14501,14102,13650,13163,12637,12078,11493,10860,10185,9503,8855,8227,7606,7017,6438,5909,5421,4948,4537,4131,3741,3371,3015,2679,2359,2048,1789,1569,1352,1164,990,838,697,584,468,368,282,213,162,108,76,45,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,15583,15508,15377,15192,14971,14704,14396,14041,13656,13239,12801,12333,11830,11309,10700,10083,9416,8749,8045,7331,6640,5967,5303,4618,3967,3322,2693,2122,1614,1177,821,562,383,252,159,87,33,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,15570,15467,15312,15086,14799,14469,14099,13698,13269,12795,12314,11817,11280,10753,10251,9727,9191,8657,8131,7615,7143,6665,6219,5801,5369,4979,4620,4307,3982,3696,3421,3154,2892,2645,2417,2200,1996,1808,1619,1444,1277,1109,937,781,644,510,397,317,241,166,111,66,43,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,15569,15468,15305,15090,14828,14536,14168,13765,13331,12873,12392,11900,11407,10869,10342,9802,9265,8723,8182,7638,7066,6508,6018,5532,5076,4628,4178,3754,3332,2918,2569,2261,1981,1730,1505,1291,1094,914,751,598,467,342,269,230,191,153,124,91,70,54,38,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
