0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,10,82,228,444,729,1085,1499,1955,2427,2913,3432,3938,4453,4978,5506,6022,6536,7054,7588,8140,8710,9230,9757,10212,10551,10882,11199,11459,11657,11845,12029,12208,12384,12555,12721,12882,13040,13197,13353,13507,13658,13807,13952,14095,14236,14375,14504,14631,14756,14879,15000,15119,15235,15349,15461,15570,15676,15779,15878,15974,16067,16157,16244,16327,16407,16484,16558,16629,16697,16761,16822,16880,16935,16987,17036,17081,17123,17162,17198,17227,17251,17272,17289
0,0,10,88,247,482,791,1176,1635,2160,2755,3417,4126,4878,5587,6258,6923,7549,8182,8812,9420,9955,10471,10923,11348,11709,12038,12348,12645,12930,13204,13468,13720,13962,14196,14423,14644,14858,15067,15268,15467,15652,15820,15957,16075,16190,16304,16416,16526,16633,16737,16834,16923,17005,17080,17144,17196,17240,17276,17304,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,89,247,478,781,1157,1600,2108,2679,3301,3942,4623,5348,6113,6908,7699,8496,9319,10139,10912,11697,12449,13047,13575,14085,14577,15050,15491,15823,16105,16349,16565,16731,16824,16881,16935,16986,17034,17079,17121,17159,17195,17228,17258,17285,17307,17320,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,89,250,490,808,1197,1664,2204,2800,3448,4106,4765,5454,6173,6875,7516,8135,8724,9293,9852,10365,10868,11365,11856,12319,12751,13147,13529,13830,14122,14399,14660,14893,15098,15287,15460,15618,15762,15893,16012,16125,16232,16336,16438,16537,16633,16727,16819,16909,16996,17081,17163,17198,17226,17251,17273,17292,17306,17316,17322,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,82,230,443,719,1049,1427,1860,2349,2876,3453,4080,4751,5469,6218,6994,7788,8552,9332,9989,10586,11185,11783,12380,12893,13377,13844,14300,14753,15124,15460,15768,16046,16306,16529,16710,16873,17020,17150,17264,17320,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,89,250,486,795,1173,1619,2133,2698,3279,3872,4467,5060,5677,6316,6979,7661,8318,8961,9506,9967,10369,10754,11122,11489,11846,12205,12536,12829,13115,13391,13660,13920,14170,14413,14645,14867,15085,15299,15508,15709,15906,16099,16248,16350,16446,16537,16624,16705,16780,16851,16916,16976,17031,17081,17125,17166,17202,17233,17260,17283,17302,17315,17322,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,87,247,482,787,1164,1601,2073,2578,3120,3695,4300,4927,5554,6181,6817,7444,8036,8600,9157,9708,10178,10643,11099,11548,11988,12399,12800,13190,13542,13847,14121,14356,14583,14802,15011,15208,15393,15566,15723,15852,15971,16084,16189,16287,16376,16457,16533,16607,16678,16746,16810,16871,16929,16984,17035,17082,17124,17162,17196,17226,17253,17275,17293,17307,17317,17323,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,86,242,467,738,1055,1399,1786,2216,2689,3207,3770,4353,4893,5379,5874,6385,6889,7368,7792,8213,8633,9058,9475,9873,10265,10652,11034,11410,11782,12146,12502,12851,13193,13489,13777,14056,14327,14584,14801,14981,15147,15295,15430,15562,15692,15820,15946,16068,16184,16292,16396,16498,16598,16694,16788,16880,16970,17058,17143,17221,17293,17307,17317,17323,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,85,246,479,788,1172,1633,2166,2737,3324,3948,4616,5322,6066,6815,7540,8285,9046,9828,10627,11405,12086,12660,13144,13591,14018,14403,14716,14996,15239,15451,15646,15824,15985,16132,16272,16406,16539,16667,16783,16888,16982,17064,17138,17200,17244,17273,17291,17304,17314,17321,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,90,249,489,803,1187,1644,2146,2697,3294,3927,4588,5271,5947,6642,7334,8025,8713,9390,10061,10737,11414,12007,12552,13069,13545,13971,14361,14741,15111,15397,15664,15918,16147,16332,16504,16661,16796,16898,16985,17062,17129,17183,17225,17254,17277,17295,17309,17319,17324,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,87,245,481,793,1152,1560,2027,2525,3036,3575,4143,4733,5328,5924,6539,7169,7788,8364,8918,9439,9905,10346,10763,11149,11536,11927,12322,12720,13115,13507,13887,14257,14572,14805,15005,15197,15383,15542,15695,15843,15988,16128,16263,16393,16519,16643,16714,16781,16845,16905,16961,17013,17061,17105,17145,17181,17213,17241,17265,17285,17301,17313,17321,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,84,230,443,722,1053,1435,1874,2367,2899,3458,4051,4664,5268,5884,6504,7127,7738,8299,8811,9303,9771,10226,10669,11095,11512,11926,12340,12739,13108,13458,13795,14115,14417,14683,14905,15108,15299,15482,15656,15821,15978,16127,16267,16399,16522,16637,16746,16852,16954,17054,17149,17239,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,88,243,471,775,1156,1605,2113,2653,3222,3820,4433,5044,5672,6306,6942,7591,8257,8889,9429,9930,10425,10911,11364,11769,12154,12534,12872,13207,13537,13865,14189,14489,14761,15024,15280,15520,15744,15942,16134,16319,16498,16630,16754,16871,16979,17072,17148,17208,17253,17288,17311,17322,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,85,246,483,800,1186,1630,2129,2676,3256,3874,4522,5195,5869,6529,7148,7671,8187,8696,9181,9650,10040,10417,10786,11149,11487,11819,12148,12465,12759,13027,13273,13504,13730,13950,14166,14377,14583,14781,14972,15156,15333,15503,15668,15825,15976,16120,16246,16356,16456,16548,16632,16707,16775,16837,16895,16950,17002,17051,17096,17137,17173,17206,17235,17260,17281,17298,17310,17319,17324,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,88,246,484,804,1192,1651,2168,2739,3365,4036,4714,5400,6093,6811,7535,8266,8934,9547,10154,10734,11299,11839,12333,12761,13176,13568,13937,14284,14595,14889,15174,15450,15712,15948,16157,16341,16486,16597,16691,16766,16826,16880,16931,16979,17024,17067,17106,17142,17176,17206,17234,17258,17280,17298,17311,17320,17324,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,88,249,490,804,1186,1616,2082,2596,3160,3764,4401,5067,5759,6476,7226,7989,8745,9478,10208,10942,11658,12340,13002,13594,14044,14459,14833,15117,15346,15557,15747,15924,16093,16251,16384,16511,16635,16758,16878,16987,17073,17143,17198,17240,17275,17301,17318,17324,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,84,239,462,754,1102,1486,1905,2349,2824,3318,3810,4319,4843,5363,5892,6425,6971,7528,8098,8682,9269,9843,10415,10983,11549,12111,12647,13146,13622,14085,14523,14947,15301,15575,15835,16080,16302,16463,16597,16717,16808,16873,16929,16978,17023,17065,17104,17141,17175,17206,17233,17257,17278,17295,17309,17319,17324,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,89,245,474,776,1146,1582,2084,2631,3226,3855,4487,5122,5735,6354,6974,7577,8168,8716,9257,9771,10254,10724,11186,11620,12021,12383,12732,13072,13401,13716,14021,14318,14603,14878,15141,15395,15639,15865,16082,16283,16468,16638,16799,16953,17015,17074,17130,17183,17233,17279,17311,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,90,249,485,797,1190,1652,2173,2750,3367,4034,4735,5443,6164,6879,7608,8348,9094,9821,10474,11055,11623,12130,12609,13068,13509,13941,14339,14640,14932,15216,15488,15748,15951,16137,16310,16469,16613,16742,16853,16953,17039,17112,17175,17226,17261,17287,17306,17317,17323,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
0,0,10,87,242,461,738,1076,1452,1865,2326,2821,3304,3797,4220,4661,5082,5513,5952,6402,6863,7332,7811,8298,8796,9303,9815,10333,10856,11379,11863,12299,12726,13141,13501,13801,14075,14334,14578,14803,15005,15193,15367,15528,15681,15827,15961,16071,16166,16252,16336,16417,16494,16569,16641,16710,16776,16838,16898,16955,17009,17060,17109,17154,17195,17231,17262,17287,17304,17316,17323,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
