0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
15620,15603,15559,15485,15376,15252,15116,14976,14824,14692,14548,14393,14244,14082,13913,13742,13566,13372,13178,12967,12760,12541,12318,12089,11858,11611,11355,11109,10833,10558,10276,9980,9696,9398,9094,8775,8455,8118,7776,7434,7084,6742,6371,6002,5608,5211,4807,4410,3996,3592,3184,2794,2392,2021,1669,1339,1043,770,546,369,247,150,100,69,46,25,14,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15600,15558,15489,15395,15280,15163,15025,14896,14770,14639,14498,14349,14188,14030,13866,13690,13517,13324,13112,12894,12677,12464,12235,12001,11762,11515,11266,11002,10722,10453,10167,9874,9583,9289,8983,8667,8340,8004,7656,7301,6955,6583,6205,5827,5459,5061,4656,4266,3868,3467,3074,2679,2313,1954,1618,1317,1018,755,506,321,211,139,82,43,26,9,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
15620,15606,15555,15482,15379,15244,15097,14922,14761,14603,14449,14315,14159,13990,13813,13639,13451,13261,13082,12878,12667,12445,12213,11978,11728,11479,11224,10979,10710,10436,10165,9869,9576,9267,8975,8671,8355,8012,7677,7337,6979,6617,6216,5824,5449,5059,4659,4283,3886,3493,3090,2698,2327,1939,1581,1271,1016,791,593,465,365,280,213,159,120,90,60,41,25,11,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
15620,15603,15554,15479,15385,15266,15144,15006,14874,14741,14591,14439,14299,14138,13967,13796,13616,13432,13238,13041,12835,12628,12406,12167,11935,11698,11455,11210,10943,10679,10402,10123,9852,9572,9261,8945,8634,8303,7975,7642,7285,6947,6578,6226,5854,5482,5089,4695,4274,3884,3468,3086,2700,2334,1978,1649,1347,1076,827,609,446,298,175,106,64,32,16,6,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15604,15555,15473,15379,15287,15181,15058,14930,14790,14622,14459,14268,14074,13893,13716,13527,13325,13121,12903,12696,12479,12244,12015,11770,11518,11263,11004,10724,10441,10162,9869,9550,9243,8928,8588,8251,7923,7577,7214,6849,6481,6101,5723,5323,4946,4545,4150,3751,3350,2973,2566,2200,1860,1543,1272,1034,842,682,543,421,324,254,192,139,96,66,43,25,10,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
15620,15600,15550,15459,15339,15201,15047,14876,14717,14566,14409,14249,14088,13920,13746,13565,13386,13180,12981,12773,12557,12329,12096,11857,11616,11353,11095,10829,10548,10268,9971,9672,9355,9039,8712,8380,8042,7709,7360,7008,6626,6243,5863,5491,5089,4715,4325,3945,3553,3173,2793,2406,2045,1699,1387,1122,879,675,509,379,275,199,143,97,58,38,21,12,7,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
15620,15600,15550,15467,15350,15204,15062,14903,14737,14570,14396,14243,14085,13921,13759,13589,13405,13211,13017,12806,12598,12379,12147,11917,11681,11431,11191,10939,10674,10386,10111,9821,9520,9207,8893,8574,8247,7906,7571,7232,6876,6506,6140,5756,5365,4974,4585,4177,3760,3349,2943,2562,2157,1783,1433,1132,915,734,577,439,315,211,131,74,37,21,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15620,15597,15544,15445,15323,15165,15018,14880,14734,14592,14432,14258,14095,13925,13749,13572,13390,13205,13013,12804,12599,12384,12167,11935,11705,11467,11213,10934,10684,10403,10136,9838,9548,9239,8925,8598,8262,7920,7573,7232,6857,6502,6123,5751,5358,4964,4559,4171,3776,3396,2988,2615,2218,1858,1506,1175,901,701,529,391,285,201,142,96,65,38,22,10,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15593,15538,15455,15334,15188,15044,14891,14745,14596,14450,14301,14148,13989,13827,13655,13473,13269,13083,12876,12675,12445,12223,11993,11742,11496,11253,10974,10704,10440,10152,9865,9570,9255,8939,8627,8305,7966,7620,7277,6921,6553,6179,5816,5430,5034,4645,4259,3865,3478,3110,2740,2380,2040,1766,1510,1253,1019,798,588,448,340,249,175,112,74,44,22,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15603,15558,15481,15377,15261,15125,14963,14796,14605,14416,14232,14045,13857,13670,13490,13308,13116,12920,12699,12485,12257,12030,11787,11532,11285,11026,10764,10479,10194,9901,9597,9285,8979,8654,8331,7997,7631,7288,6938,6569,6192,5826,5439,5046,4656,4279,3882,3485,3101,2717,2324,1971,1634,1295,965,715,518,363,250,170,105,68,43,25,14,5,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
