ORBIT_CNT,EVENT,ALPHA
1897417422.0,1,-1.7793262497074067
1897417422.0,1,-1.7793262497074067
1897417422.0,1,-1.7793262497074067
1897417422.0,1,-1.7793262497074067
1897419801.0,1,9.599710913242372
1897419801.0,1,9.599710913242372
1897419801.0,1,9.599710913242372
1897419801.0,1,9.599710913242372
1897420442.0,1,-2.1348896158077264
1897420442.0,1,-2.1348896158077264
1897420442.0,1,-2.1348896158077264
1897420442.0,1,-2.1348896158077264
1897426790.0,1,4.558761685952869
1897426790.0,1,4.558761685952869
1897426790.0,1,4.558761685952869
1897426790.0,1,4.558761685952869
1897430901.0,1,17.167228866786026
1897430901.0,1,17.167228866786026
1897430901.0,1,17.167228866786026
1897430901.0,1,17.167228866786026
1897433023.0,1,6.4006515681894784
1897433023.0,1,6.4006515681894784
1897433023.0,1,6.4006515681894784
1897433023.0,1,6.4006515681894784
1897434880.0,1,-2.7863090824935535
1897434880.0,1,-2.7863090824935535
1897434880.0,1,-2.7863090824935535
1897434880.0,1,-2.7863090824935535
1897435317.0,1,3.574927251567179
1897435317.0,1,3.574927251567179
1897435317.0,1,3.574927251567179
1897435317.0,1,3.574927251567179
1897436185.0,1,1.8978639589693416
1897436185.0,1,1.8978639589693416
1897436185.0,1,1.8978639589693416
1897436185.0,1,1.8978639589693416
1897440366.0,1,16.51503825907525
1897440366.0,1,16.51503825907525
1897440366.0,1,16.51503825907525
1897440366.0,1,16.51503825907525
1897444805.0,1,1.1271236177375374
1897444805.0,1,1.1271236177375374
1897444805.0,1,1.1271236177375374
1897444805.0,1,1.1271236177375374
1897445993.0,1,9.349581396074997
1897445993.0,1,9.349581396074997
1897445993.0,1,9.349581396074997
1897445993.0,1,9.349581396074997
1897449688.0,1,-1.6212524409867461
1897449688.0,1,-1.6212524409867461
1897449688.0,1,-1.6212524409867461
1897449688.0,1,-1.6212524409867461
1897452436.0,1,-1.641013066604464
1897452436.0,1,-1.641013066604464
1897452436.0,1,-1.641013066604464
1897452436.0,1,-1.641013066604464
1897454450.0,1,-9.44582814941498
1897454450.0,1,-9.44582814941498
1897454450.0,1,-9.44582814941498
1897454450.0,1,-9.44582814941498
1897455706.0,1,13.340158899875924
1897455706.0,1,13.340158899875924
1897455706.0,1,13.340158899875924
1897455706.0,1,13.340158899875924
1897455834.0,1,-2.0558887850044556
1897455834.0,1,-2.0558887850044556
1897455834.0,1,-2.0558887850044556
1897455834.0,1,-2.0558887850044556
1897465836.0,1,18.10121056256372
1897465836.0,1,18.10121056256372
1897465836.0,1,18.10121056256372
1897465836.0,1,18.10121056256372
1897469730.0,1,-8.384267229872773
1897469730.0,1,-8.384267229872773
1897469730.0,1,-8.384267229872773
1897469730.0,1,-8.384267229872773
1897471943.0,1,9.907055395641592
1897471943.0,1,9.907055395641592
1897471943.0,1,9.907055395641592
1897471943.0,1,9.907055395641592
1897477053.0,1,-0.988734329037716
1897477053.0,1,-0.988734329037716
1897477053.0,1,-0.988734329037716
1897477053.0,1,-0.988734329037716
1897480169.0,1,-16.56955848721983
1897480169.0,1,-16.56955848721983
1897480169.0,1,-16.56955848721983
1897480169.0,1,-16.56955848721983
1897480831.0,1,-8.07432446342887
1897480831.0,1,-8.07432446342887
1897480831.0,1,-8.07432446342887
1897480831.0,1,-8.07432446342887
1897483770.0,1,7.938573677803882
1897483770.0,1,7.938573677803882
1897483770.0,1,7.938573677803882
1897483770.0,1,7.938573677803882
1897486929.0,1,5.755345841302577
1897486929.0,1,5.755345841302577
1897486929.0,1,5.755345841302577
1897486929.0,1,5.755345841302577
1897487969.0,1,-6.302978644726216
1897487969.0,1,-6.302978644726216
1897487969.0,1,-6.302978644726216
1897487969.0,1,-6.302978644726216
1897489990.0,1,-14.198330086134732
1897489990.0,1,-14.198330086134732
1897489990.0,1,-14.198330086134732
1897489990.0,1,-14.198330086134732
1897503780.0,1,3.7718817510952927
1897503780.0,1,3.7718817510952927
1897503780.0,1,3.7718817510952927
1897503780.0,1,3.7718817510952927
1897508513.0,1,-10.92094105864406
1897508513.0,1,-10.92094105864406
1897508513.0,1,-10.92094105864406
